,Competence Features,BertForSequenceClassification SHAP Values
0,Analyze ,4.736393287777901
3,masters ,4.104708630591631
6,ability ,3.573577026836574
8,icative,2.991528734564781
9,Sales ,2.9395018219947815
12,skill ,2.6397002582380082
15,iti,2.5840161172673106
16,effectiveness,2.523770911619067
18,responsible ,2.3587975336704403
20,layered ,2.3347754888236523
21,prior,2.3105172188952565
24,Support ,2.2221069931983948
28,res,2.0867609743254434
29,marketing ,2.079245620892228
30,knowledge,2.0110977237927727
33,cycle ,1.9005923196673393
39,Masters ,1.7206553486175835
40,solving ,1.6870789938839152
41,ideas,1.671992084942758
42,executing ,1.6520336610265076
43,problem ,1.6384656523587182
44,Dutch,1.5860466659069061
48,imi,1.435658972361125
51,writing ,1.4156556162051857
52,program,1.3780964203178883
53,direction ,1.3723126966506243
55,pro,1.360408741980791
56,financial ,1.3553051576018333
58,preparing ,1.3082485863318045
61,minds ,1.2981827319599688
64,results ,1.283364425837164
66,goals,1.207057148218155
67,integrity ,1.2040867917239666
71,sourced ,1.138050858862698
72,excellent ,1.1297823954373598
73,ili,1.1285212813418184
74,improve ,1.1264297981280833
76,overall ,1.1066936686635018
77,Being ,1.0996871665120125
78,documents ,1.0914543829858303
79,independently ,1.0892065822457273
81,Researching ,1.0686505362391472
82,technical,1.055386818246916
85,operational ,0.9847237124437621
87,portfolio ,0.9768623537383974
88,content ,0.9615878015756607
89,level,0.9576837569475174
90,expansion ,0.953803326934576
92,offices ,0.9411803263938054
94,ideas ,0.9212783835828304
95,molecules ,0.9144673289459508
96,English ,0.9136048443615437
97,patents,0.9075637608766556
99,power ,0.8941423161886632
100,supervise ,0.8916896469891071
103,expanding ,0.8699689475553376
106,integration,0.8602037287006775
107,experiences,0.8372631417121739
109,opt,0.8249131698394194
110,concept ,0.8148720590397716
118,variety ,0.769869820214808
119,ent ,0.7630524825071916
122,operate ,0.7026933159989616
126,drive ,0.6813477498944849
127,ism,0.6634236427489668
128,ups ,0.6628231927752495
131,Netflix ,0.6374971717596054
134,without ,0.6270590350031853
135,com,0.6136684641242027
136,campaigns ,0.6120499213284347
137,publication,0.6082061687484384
