,Warmth Features,GPT2ForSequenceClassification SHAP Values
1, collaborating,6.336215521208942
2, proactive,6.099806409329176
3, diverse,5.884021490812302
5, relations,5.449336539953947
7, beautiful,5.30736345902551
10, resilient,4.34158730506897
11, professionalism,4.331455960869789
13, culture,3.952893501613289
14, relationships,3.9202277050353587
15, teams,3.9040495210065274
17, collaboration,3.7849003076553345
20, excellent,3.483035944402218
23,icative,3.003254847601056
27, employees,2.5502943348838016
29, entrepreneurs,2.4406212270259857
32, support,2.15166732872902
37, closely,1.9885843507945538
38,Support,1.9377737138420343
40, layered,1.833023339509964
42, top,1.6610779762268066
43, experienced,1.6436804980039597
45, consumers,1.613091135630384
46, variety,1.571623533964157
50, integrity,1.5254988204687834
52,ups,1.4874907527118921
53,stand,1.4134271629154682
54, floor,1.3555800318717957
55, young,1.2659555927384645
58, recruit,1.0942319631576538
61, founded,1.001683309674263
62, professionals,0.9897923218086362
63, campaigns,0.9383969008922577
64, minds,0.936040610074997
65, accountable,0.9315605123993009
69, experiences,0.8946664771065116
71, individuals,0.8500302471220493
73, whole,0.8310407605022192
75, solving,0.7634843438863754
79, trusted,0.7221770919859409
83,tight,0.6412500499864109
84, share,0.6028869664296508
85, amb,0.5993823195497194
86, following,0.5901672393083572
90,Being,0.5675362460315228
91, varying,0.530153805622831
94, lif,0.4917217493057251
97,integ,0.4707680940628052
100, improve,0.44542520325194346
102, partnered,0.44504666641781415
106, beg,0.394996702671051
107, new,0.3945697583258152
108, lot,0.3944663554430008
109, landscape,0.3754148781299591
113, climate,0.35647625278215855
118, hun,0.3256771499911944
121, problem,0.2918742448091507
122, preparing,0.29089469214280445
124, working,0.27305724285542965
125, fully,0.2584782864432782
126, corporate,0.23642387916333973
140, evidenced,0.15594768524169922
142, ask,0.14945334196090698
143, merchants,0.14906083047389984
144, project,0.14773210103157908
145, development,0.14058269036468118
147, stake,0.1391540989279747
150, ideas,0.12758157774806023
151, quick,0.12293502688407898
158, per,0.0992085337638855
164, molecules,0.08309479093267805
165, basis,0.08078040870336387
166, align,0.07683074148371816
169, large,0.0487648177714575
170, train,0.04387487657368183
172, expanding,0.0416995386282603
174, provide,0.041590815484270044
179, concept,0.024811473985513054
187,ivo,-0.0033600011219580943
188,ities,-0.004711241895953816
192,kar,-0.010190276162964956
195, writing,-0.022584587335586548
196, looking,-0.022933542728424072
197, backgrounds,-0.024669282138347626
