,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,production manager,Indeed,p_3e3c41df905278eb,Manager Production & Operational Excellence,Eurocept Pharmaceuticals, Ankeveen,"EUROCEPT PHARMACEUTICALSEurocept Pharmaceuticals is een sterk groeiend farmaceutisch bedrijf met internationale aspiraties en vanuit het hoofdkantoor in Ankeveen worden verschillende functies van Eurocept Pharmaceuticals gecoördineerd. In al deze verschillende functies moet Eurocept Pharmaceuticals hoogwaardige producten en diensten leveren die voldoen aan de hoge verwachtingen van de klanten en aan de vereisten zoals vastgesteld in wet- en regelgeving.Eurocept Pharmaceuticals werkt als groothandel en fabrikant van geneesmiddelen en verzorgt registratie, farmacovigilantie, productie, marketing, verkoop en distributie van geneesmiddelen in tal van landen binnen en buiten Europa. Afhankelijk van het product is Eurocept Pharmaceuticals houder van de handelsvergunning, fabrikant, lokale vertegenwoordiger, lokale distributeur of groothandelaar.Onze organisatie is doelgericht, flexibel en succesvol in het behalen van de doelstellingen van alle betrokken stakeholders. In een informele werksfeer bouwen wij aan de groei van de Eurocept Pharmaceuticals. Een uniek concept van een uniek bedrijf!DE UITDAGINGMeer en meer ontvangen wij verzoeken vanuit de hele wereld om geneesmiddelen te leveren en ook onze eigen productie van geneesmiddelen neemt toe, vandaar dat wij op zoek zijn naar een Manager Production & Operational Excellence om hierin een coördinerende rol te spelen tussen alle interne en externe partijen. Tevens ben je in deze functie verantwoordelijk voor het voorraadbeheer van de grondstoffen, planning van de productie en aansturing van de twee medewerkers op de verpakafdeling, alles conform wet- en regelgeving.Naast de werkzaamheden met betrekking tot de productie en voorraadbeheer ben je in deze rol verantwoordelijk voor het implementeren van nieuwe business developments (bijvoorbeeld nieuwe contracten en partnerships) binnen de gehele organisatie en hou je toezicht op import- en exportdocumentatie. Kortom een hele dynamische baan bij een snel groeiend bedrijf.Eurocept Pharmaceuticals (Ankeveen) is per direct op zoek naar een:Manager Production & Operational ExcellenceDE FUNCTIEJe bent verantwoordelijk voor:· aansturing van de productie en toezicht op import, distributie en export van specifieke farmaceutische producten met inachtneming van relevante regelgeving op het gebied van GMP, GDP en lokale regelgeving· communicatie met relevante partijen zowel intern als extern· voorraadbeheer voor de relevante geneesmiddelen en bulkgeneesmiddelen inclusief etiketteer en verpakkingsmaterialen· planning van de verpakactiviteiten· administratie en documentatie van verpakactiviteiten (batch records, werkorders)· het zorgdragen van printen van serialisatie etiketten· het zorgdragen dat relevante exportdocumenten nauwkeurig zijn en voldoen aan de specifieke vereisten· het anticiperen op en faciliteren van toekomstige ontwikkeling, productiebehoeften, behoeften aan opslagcapaciteit· optimalisatie van het productie proces· doorlopend overleggen met het kwaliteitsteam om relevante inzichten uit te wisselen· het implementeren van nieuwe contracten binnen de gehele organisatieWAT BIEDEN WIJ?· Marktconform salaris, afgestemd op relevante werkervaring· Fulltime dienstverband van 40 uur (minder is bespreekbaar)· 25 vakantiedagen· Zeer uitdagende baan voor een multitasker met verschillende petten op binnen het bedrijf· Werkt nauw samen met alle afdelingen binnen ons bedrijf en is betrokken bij vele processen en collega’s· Organisatie met hoge dynamiek, zeer ondernemen, commercieel, hard groeiend en ambitieusWIJ VERWACHTEN VAN JOU DAT JE· Opleidingsniveau minimaal HBO is· Beschikt over een afgeronde opleiding Supply Chain Management of daaraan gelieerd· Financiële achtergrond is een pré· Communicatief bent in Nederlands en Engels· Nauwkeurig bent· Oog voor kwaliteit hebt· Prestatiemotivatie meer dan gemiddeld isJE HERKENT JE IN ONZE VALUES· Resultaatgerichto Je boekt resultaat voor de klant en voor het bedrijf, op korte en lange termijn· Oplossingsgerichto Je bent proactief, innoverend, je denkt buiten de kaders en de verwachting van de klant neem je altijd in ogenschouw· Klantgedreveno Je bent flexibel, service verlenend en je blijft positief verrassen· Kwaliteitsgerichto Je stelt je professioneel en transparant op, de resultaten zijn meetbaar en toetsbaar en je wilt jezelf continu verbeteren· Verbindendo Je zoekt de samenwerking op, je hebt oog voor de ander en je staat open voor anderen· Erkenning gevendo Je geeft energie en flexibiliteit en zet collega’s in hun krachtINTERESSEHeb je interesse in deze vacature of heb je na het lezen van bovenstaande nog vragen? Neem dan contact op met Jacob Haagsma (Finance Manager).PROCEDUREDe sluitingsdatum voor de vacature is 31 januari 2021. Wij proberen zo spoedig mogelijk, maar in ieder geval binnen één week, een terugkoppeling te geven.Deadline sollicitaties: 31-1-2021Verwachte startdatum: 1-3-2021Soort dienstverband: Fulltime, Bepaalde tijd, Onbepaalde tijdAanvullende betalingen:VakantiegeldArbeidsvoorwaarden:KerstpakketPensioenReiskostenvergoedingWerkschema:ma-vrThuiswerken:NeeVoorzorgsmaatregelen tegen het coronavirus:Persoonlijke beschermingsmiddelen worden uitgedeeld/zijn verplichtPlexiglas schermen op werkplekkenEr gelden richtlijnen voor social distancingVirtuele vergaderingenEr zijn ontsmettings-, desinfecteer- of schoonmaakprocedures van kracht",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Eurocept-Pharmaceuticals/jobs/Manager-Production-Operational-Excellence-3e3c41df905278eb?fccid=00f2b58b2df88ddc&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-06,en,Male
1,production manager,Indeed,p_30fbb9fcb5ea6f74,Project Manager - Creative Content Production,VanMoof, Amsterdam,"As Project Manager, you’ll be part of the inhouse creative production team. You’ll take responsibility for the planning, organisation, management, and execution of creative production projects. Your focus will be on both internal and external requests and those from departments within VanMoof. Projects will range from always-on content communication briefs to larger scale 360 campaign briefs.
Together with the Brand Content and Creative teams, you’ll turn briefs into creative production plans, and work with internal creative resources and external agencies or production companies to concept, execute, and deliver content. You’ll plan the creatives needed for the project, arrange feedback rounds with key stakeholders, and ensure all deadlines are hit.
You’ll need to be a natural multitasker who’s never afraid to go the extra mile, familiar and confident in navigating the creative process – someone who can think on their feet to stay ahead of any obstacles along the way.
What you’ll do
Project managing internal and external online and offline creative content requests.
Planning, organizing, managing, and executing content projects.
Stakeholder management – keeping in touch with everyone involved.
Making sure we hit all project deadlines.
Keeping track of the necessary budgets.

What you'll bring
At least 4 years experience within a creative agency or studio as project manager/account manager
Experience working on 360 / multimedia global campaigns
Evidence of strong organisational skills.
A proactive mindset, with a hands-on approach.
Great communication and problem-solving skills.
The ability to work under pressure and adapt quickly to operational changes.
Excellent English skills, both written and spoken.
Must be inspired by VanMoof’s mission to get the next billion on bikes.
Currently based in the Netherlands, and willing to commute within Amsterdam
What you'll get
26 paid holidays for you to unwind
Your very own VanMoof bike (lend-lease)
Laptop, screens, and software tools
Insider experience in a rapidly-growing international company
Healthy lunch provided when in the office
Special snacks, tasty coffee (and lots of tea) when in the office
Weekly Bootcamp, Weekly Yoga, Onefit discount & Classpass credits.
Discount on Dutch Health Insurance
About us
We’re obsessed with cities. So are our bikes. Truly city-proof, they shrink long commutes, scare off bike thieves, and amplify your pedal power. We made it our mission to get the next billion on bikes. Join us on this journey.
Job descriptions are difficult to interpret. We understand you might not tick all the above boxes. The truth is, we don't either. If you feel excitement about our upcoming challenges, we encourage you to apply now!",-1.0,-1,https://indeed.nl/rc/clk?jk=30fbb9fcb5ea6f74&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=da29c697684414d8&assa=6511,https://nl.indeed.com/vacature-bekijken?jk=30fbb9fcb5ea6f74&fccid=2ba499fda0a1408f&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-06,en,Male
2,production manager,Indeed,p_8cb276ce928dbf03,Production Manager,Stora Enso, Amsterdam,"Can you help us take wooden buildings to new heights? Come join us!

We are currently looking for Production Manager for our Amsterdam Unit in Wood Products Division. As a Production Manager, you will be responsible for a skilled and enthusiastic team.
In our unit we work with planing lines, which have integrated bundling and sticker machines. Your job is to continuously optimize the process and keep the quality of the machines in excellent shape. As a member of the mill management team, you will be part of the future growth of the unit.
Stora Enso is a leading global provider of renewable solutions in packaging, biomaterials, wooden constructions and paper. Come grow a renewable world. And you will grow too.

Your main tasks and responsibilities will be:

Total responsibility for production and maintenance
Ensures a safe working environment by making sure that rules are in place and followed, develops safe working methods, by setting a good example and by coaching.
Continuous improvement of product quality and cost efficiency
Develops a culture of continuous improvement by enforcing a go and see- mindset and daily routines for problem solving and improvement
Develops maintenance tasks for the production and similar maintenance related activities
Responsible for process quality in own process
Leader and a role model, developing an inclusive and engaging culture
Staffing and personnel development: staffing plans, recruitments, onboarding, competence development in cooperation with HR
Cross department problem solving, develops the mill with the mill management team
Controlling by-products quality and deliveries in own area of responsibility
Project management and involvement in projects
All production related reporting and follow up, ensuring data quality
Controlling and developing energy efficiency

What we Offer
With our values, “Lead and Do what’s right”, we endeavor to set an example in all aspects of our business as well as sustainability. We dare to take the initiative and constantly ask ourselves what more can we do, what can we do better. This is an excellent opportunity for you to be a part of the journey Stora Enso is on – transforming from a traditional forest industry company, into a renewable materials growth company – an industry with great potential driven by global megatrends. As a Production Manager, you will be working in an engaging environment giving you the opportunity to grow as a professional.

Qualifications
In order to succeed in this role, you will have:

Relevant bachelor/ university degree
5 years of experience in leading positions in an production environment
Structured and well organized working style
Excellent communication skills and fluent in Dutch and English
To be persistent, systematic and drive for results, gets things done
Knowledge of wood processing industry, production process and relevant products
Knowledge of steering maintenance activities in a production unit
Technical understanding
Business acumen and ability to lead with facts and numbers
Change management and communication skills
High learning ability
IT skills

The person will report to the Mill Director of the unit
Location: Amsterdam.
Readiness to travel under Requirements

Additional information
Please submit your application via our recruitment system latest by February 12th . Hiring manager Gert-Jan Roode, gert.roode@storaenso.com, will be happy to answer your questions about the position. Other questions can be directed to the HR Manager, Rishi Autar, rishi.autar@storaenso.com. We accept applications submitted only through our recruitment system.

The Wood Products Division is a leading provider of innovative wood-based solutions. The product range covers applications for construction, the window and door industry, as well as for the packaging and decoration industries. Pellets provide a sustainable solution for heating. The offering includes service concepts such as Building Solutions and e-business. Our solutions meet strict requirements regarding safety, quality, design and sustainability.

More about Wood Products: http://buildingandliving.storaenso.com/
Our fiber-based materials are renewable, recyclable and fossil free. Our solutions offer low-carbon alternatives to products based on finite resources. We believe that everything that is made from fossil-based materials today can be made from a tree tomorrow.",-1.0,-1,https://indeed.nl/rc/clk?jk=8cb276ce928dbf03&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=3e34363c65b57a12&assa=2737,https://nl.indeed.com/vacature-bekijken?jk=8cb276ce928dbf03&fccid=c2e5bfabfeace5ba&vjs=3,24 dagen geleden,24 dagen geleden,2021-02-06,en,Male
3,production manager,Indeed,pj_69ad5d162a9cc57b,Productiemanager / Waardestroom Manager,KIVO Plastic Verpakkingen BV, Volendam,"Wij zijn op zoek naar een Productiemanager / Waardestroom manager.Wat vragen we van jou?Je hebt een HBO Technisch Bedrijfskundige achtergrond en ervaring met het voeren van een continu verbeteringsbeleid (World Class Manufacturing) ten aanzien van de gehele (keten) waardestroom performance en kwaliteit.Je bent verantwoordelijk voor het efficiënt en effectief laten functioneren van de gehele productielocatie door middel van het opzetten en onderhouden van World Class Manufacturing (WCM) processen, waarbij je erop toeziet dat voortgang, kwaliteit en standaarden in processen en werkmethoden worden toegepast. Je initieert en implementeert verbetertrajecten om de waardestroom te optimaliseren. Je bent in staat om het continu verbetervermogen van de Productieleiders en de medewerkers die daaronder vallen te vergroten. Je bent voor de productie een voorbeeld in doen en denken en zet complexe ideeën om in acties. Je bent inspirerend en motiverend en neemt een leidende rol in de (door) ontwikkeling van continu verbeterkennis van de medewerkers van de productielocatie. Je zorgt voor een lange-termijn plan en weet goed prioriteiten te stellen. Je neemt tijd om echt aanwezig te zijn en mensen hun eigen proces door te laten maken op basis van een ontwikkelplan. Je straalt actief het belang van het doorvragen van behoeften van collega’s uit en inspireert de omgeving in het verbeteren van communicatie processen en relaties.Wat hebben we jou te bieden?Een uitdagende functie bij een familiebedrijf met groei- ambitie en meerdere vestigingen in EuropaDe kans om continu verbeteren op te zetten en te onderhouden volgens de Lean principesRuimte om jezelf te ontwikkelenOverige arbeidsvoorwaarden: Gunstige pensioenregelingKorting op sportschool en sport- en vrijetijdskledingFietsenplanGezellige personeelsvereniging (paintballen, bierproeverijen, karten)Soort dienstverband: Fulltime, Onbepaalde tijdSalaris: €6.540,08 - €9.342,67 per maandAanvullende betalingen:VakantiegeldArbeidsvoorwaarden:BedrijfsfeestenBedrijfsfitnessBudget voor professionele ontwikkelingExtra vakantiedagenFietsplanFlexibele werkurenKerstpakketPensioenPersoneelskortingReiskostenvergoedingTelefoonplanVrijdagmiddagborrelWerkschema:DagdienstOpleiding:HBO (Aanbevolen)Thuiswerken:Nee",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CffNJRSRQpctgWk8zMXExT6GLQ2O9a3sq1M8z--wra6WDhwkD7At0Yk9vXWi7bBUy-2ABaGk9jMIUdoXa3jLh8Kf7uf6jiRCBnTNYdtymzcDMfuYymeJ1SEjEvPQotTfL_k85nGXOW7XHPOmhVTrkvswpkS6dKIHWaALxOc1gIX6Le0m7IefJhWxH-pU0jpi7WSIoJyPE5awzNbpAhRK6Ah9hEc99ZsGvLiTnvtjmAZjOaXih7brWeVSEDScx1iIAaXJQw1o86Cc8H6bcpeyJjAD9tKv2Zg7jp6NEtWdDeumgI6kcVq1tkqPjMOBC50VLcIkBtEdO_5f9UiDBahvzzhE_2snnDTLD4JXr63BNFG8_t2wM8-EZPzTPk5PuzgpTHpGl9lJ30SwOuvIZxgC0H2-hlZiQrbEvod7u3X94wRm7jXVXnwd6pd3zQqH45RZdBoKXRc6sJ9FVWgwmxVN4i5-x_hzTyMZ11wzVXXj6qS055m7g3sSzD&p=0&fvj=1&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
4,production manager,Indeed,p_6a2e53ad0b3c746c,Production Manager,Stirah, Amsterdam,"We are looking for an experienced Production Manager to organize and oversee the manufacturing of goods.
You will be ultimately responsible for the smooth running of all production lines and the quality of output.
We expect you to have deep know-how in production procedures.
Ability to direct personnel towards maximum performance will set you apart as a leader.
Decision-making and problem-solving will take up a great part of your day.
If you are up to it, we’d like to talk to you.
The goal is to ensure an efficient and productive manufacturing process that meets customer requirements.
Responsibilities
Determine amount of necessary resources
Liaise with other managers to formulate objectives and understand requirements
Estimate costs and prepare budgets
Monitor production to resolve issues
Supervise and evaluate performance of production personnel
Requirements
Outstanding communication ability
Proven experience as production director
Knowledge of performance evaluation and budgeting concepts
Understanding of quality standards and health & safety regulations
Deep knowledge of production management",-1.0,-1,https://indeed.nl/rc/clk?jk=6a2e53ad0b3c746c&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=ceae4e44a2772624&assa=4767,https://nl.indeed.com/vacature-bekijken?jk=6a2e53ad0b3c746c&fccid=8258005bbb2d2bfc&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
5,production manager,Indeed,p_256971610dd05936,Packaging Production Manager,Stirah, Amsterdam,"Job Context & Duties
Promote sustainable packaging
Design package
Demonstrate proficiency in packaging standards
Test package
Maintain relationship with suppliers
Qualifications and experience required
The ability to deal with a range of tasks at the same time
Drive for Results: Ability to take personal responsibility and initiative for delivering high quality work
Experience of having worked in a similar role
Analysis and problem solving: Ability to identify the critical facts in difficult issues and develop creative and practical solutions
Customer Focus: Ability to meet the expectation and requirement of internal and external customers",-1.0,-1,https://indeed.nl/rc/clk?jk=256971610dd05936&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=18e79a0d3543b6f9&assa=6623,https://nl.indeed.com/vacature-bekijken?jk=256971610dd05936&fccid=8258005bbb2d2bfc&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
6,production manager,Indeed,p_191b544af8448906,Food Production Manager,Stirah, Amsterdam,"Job Context & Duties
Analyse trends in the food and beverage industries
Plan food plant production activities
Manage resources in food manufacturing
Manage corrective actions
Keep up with innovations in food manufacturing
Qualifications and experience required
Ability to work independently
Drive for results: Ability to take personal responsibility and initiative for delivering work to a high standard of quality within set procedures
Commitment to providing high quality support to colleagues and to meeting deadlines
Analysis and Problem Solving: Ability to identify the critical facts in difficult issues and develop creative and practical solutions
Experience of having worked in a similar role",-1.0,-1,https://indeed.nl/rc/clk?jk=191b544af8448906&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=749914142a7a82fc&assa=7954,https://nl.indeed.com/vacature-bekijken?jk=191b544af8448906&fccid=8258005bbb2d2bfc&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
7,production manager,Indeed,p_5b7ceb1e3a74fa67,Crop Production Manager,Stirah, Amsterdam,"Job Context & Duties
Manage production enterprise
Maintain storage facilities
Ensure soil fertility
Operate agricultural machinery
Manage agricultural staff
Qualifications and experience required
Ability to work autonomously
The ability to carry out work efficiently and accurately, even under pressure
Strong motivation and open and positive attitude
Experience of having worked in a similar role
Commitment to providing high quality support to colleagues and to meeting deadlines",-1.0,-1,https://indeed.nl/rc/clk?jk=5b7ceb1e3a74fa67&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=ffff69efc8994a2b&assa=450,https://nl.indeed.com/vacature-bekijken?jk=5b7ceb1e3a74fa67&fccid=8258005bbb2d2bfc&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
8,production manager,Indeed,p_c39c45e719f6a6e4,Aquaculture Production Manager,Stirah, Amsterdam,"Job Context & Duties
Plan aquatic resources feeding regimes
Ensure aquaculture personnel health and safety
Supervise waste water treatments
Control aquatic production environment
Monitor the use of resources in production
Qualifications and experience required
Commitment to providing high quality support to colleagues and to meeting deadlines
Sense of proactive initiative and team spirit
The ability to carry out work efficiently and accurately, even under pressure
Strong motivation and open and positive attitude
The ability to carry out work efficiently and accurately, even under pressure",-1.0,-1,https://indeed.nl/rc/clk?jk=c39c45e719f6a6e4&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=86c659d1f6359dfb&assa=1684,https://nl.indeed.com/vacature-bekijken?jk=c39c45e719f6a6e4&fccid=8258005bbb2d2bfc&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
9,production manager,Indeed,p_5c108db8e10e0ed0,Production Manager,Tailscom, Amstelveen,"We're looking for a Production Manager with strong people focus able to engage the staff and drive the production team's performance so that we can continue to give our customers a great experience as we grow and expand.

Changing the world of pet food for good

We're tails.com, a dog food subscription company with a big difference. We create truly tailored food for each and every dog we serve. We start by asking people a few simple questions about their dog. Then we use that information to create their dog's unique tails.com recipe – so their dog gets exactly the nutrition they need, in the taste they love, delivered to their door every month. It's clever stuff.

We've got ambitious plans. Having created an entirely new category in pet food, we're now scaling fast in the UK and Europe – backed by Purina, one of the world's largest pet food companies. You'll join a bunch of smart people working towards the same goals – and a bunch of smart-ish dogs, all working on their own thing.

Together, we'll change the world of pet food for good.

Smart factory. Smarter people.

In Factory Operations, we're responsible for creating a different product for each and every dog, and delivering it to our customers - on time and in beautiful condition. It means we design the processes that make it possible to do what tails.com does – meeting challenges and finding new ways to do incredible things.

The team is engaged, empowered, and high-performing. We're driven by results and delivery – which means you get the space and trust to take a problem and solve it. We believe most hard skills are learnable – so we're looking for attitude and approach above all else. Eager to learn, adapt, and work hard? You could be just the person we need to deliver a truly game-changing product to thousands of people, every day.

Sound like a team you want to join? Here's how you'll make a difference:

The role

Based in our Amstelveen Factory, you will guide the Production teams to ensure that our customers receive their orders right the first time.

Staff performance, and compliance with quality and H&S procedures will be some of the core responsibilities of this role.

You will also work collaboratively with other teams, for example Engineering, Quality and Supply Chain, to help tails.com meet our ambitious objectives.

The things you'll do

Production Planning
Analysing and improve OEE
Team training and development
Supplier relationship management
Production Operator recruitment
Support and enforce the implementation of H&S and Quality procedures
Shift Support to ensure continuous production

The skills you'll bring

Previous experience as Production Manager
Excellent people management skills
Good analytical and organised approach to work
Knowledge in Health & Safety, Food Quality
Ability to go the extra mile & Flexibility.
A demonstrably proactive method in your previous roles
Our commitment

We're proud to be an active equal opportunity employer.

We want to give everyone a fair chance to join us in changing the world of pet food for good. We do this by conducting a structured recruitment process for all candidates, as well as actively promoting our roles to communities that are under-represented at tails.com.

During your interview process you'll meet some of our team with varying levels of responsibility and experience. We want to give every candidate a fair interview process and if you need any reasonable adjustments made, please let us know.

What's in it for you?

We're proud to be on a high growth trajectory and with that, proud to offer the chance to work in an environment and with a team that will constantly challenge and develop you.

You'll get a competitive salary, and start on 25 days of holiday, optional unpaid leave and a paid volunteer day each year (all prorated to the length of your contract).

We have shed loads of other great benefits, visit our careers page for more info.",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=5c108db8e10e0ed0&fccid=e402b4f8dfe67a89&vjs=3,10 dagen geleden,10 dagen geleden,2021-02-14,en,Male
