,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,transportation,Indeed,p_9f36f938b73b852c,Junior Event Coordinator,European Association For International Education, Amsterdam,"As the European Association for International Education's Events Coordinator, you arrive with experience to make our events a success. Every day is varied and a new adventure. One day you are handling administrative tasks and the other day you are assisting with logistic arrangements for an event. You are ready to adapt to the new era of both virtual and in-person events. You thrive in an international environment and feel comfortable working independently when needed. This role is for 4-to-5 days a week and you will report to the Head of Events.

Responsibilities

Support the coordination of (logistical) arrangements for the EAIE's Annual Conference & Exhibition and other EAIE events (both in advance and on-site).
Help shape event objectives based on one’s area of expertise.
Conduct research as well as be responsible for the administration, planning and execution of projects within the events team.
Act as the point of contact for a number of (local) stakeholders, such as suppliers, agencies, and partners.


Must-haves

At least 2-to-4 years in a similar position.
HBO/University degree and conceptual level, ideally with a degree in Event management or hospitality management.
Tech savvy: you master new tools in a heartbeat and type faster than you talk.
Good written and verbal communication skills in English.
Great attention to detail.
Excellent interpersonal skills.
Ability to travel within Europe several times a year.
Already settled in the Netherlands with a valid work permit.


Your skills

You get things done: You follow through on every request, no matter how big or small. You keep your cool under pressure and know how to priorities your tasks. When you need help, you’re not afraid to ask.
You’re a team player: You have the ability to work effectively with others and enjoy engaging with colleagues from around the world. You are respectful of different approaches to the work at hand.
You're a great multitasker: You understand that some tasks may take longer than expected due to matters outside of your control, so you're patient and happy to prioritise other tasks in the meantime.


Our benefits

The EAIE offers a stimulating work environment, a generous benefit package, and an international staff who are dedicated to our mission.

Competitive salary: EUR 2400 to 2700 gross per month based on experience and based on 37.5 hours per week. An option to work 30 hours can also be discussed. An initial 7 month contract will be offered.
Work hard, play hard: 25 days of holiday per year (plus 10 days at Christmas).
Retire in style: we contribute while you contribute to your pension scheme.
Ride the train: 100% of your daily transportation covered if you live outside of Amsterdam.
Health is wealth: 50% of your monthly health insurance coverage covered.

Qualifying candidates may be contacted before application deadline. Candidates must already reside in the Netherlands.


The application deadline is open until position is filled. Due to the current COVID-19 situation, the hiring process may not be completed until after an in-person interview is possible.",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=9f36f938b73b852c&fccid=c56788a91c8f1a4c&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
1,transportation,Indeed,p_e3e5d0ec3c7563ec,Oliver Wyman - Entry Level Consultant - Amsterdam,Marsh and McLennan, Amsterdam Zuid,"About Us Oliver Wyman is a global leader in management consulting. With offices in 60 cities across 29 countries, Oliver Wyman combines deep industry knowledge with specialized expertise in strategy, operations, risk management, and organization transformation. The firm has more than 5,000 professionals around the world who work with clients to optimize their business, improve their operations and risk profile, and accelerate their organizational performance to seize the most attractive opportunities. Our work is marked by exceptional impact for our clients and we have earned a reputation for quality work and that is why we represent half of the top 500 global companies.
Why Join Us?
By consistently producing results, we have earned a reputation for quality work and attractive career opportunities. We are committed to developing the best talent, where your good ideas and hard work are rewarded. There are also extensive opportunities to allow career flexibility including: corporate externships, 10/11-month work years or sabbaticals, non-profit fellowships, and international staffing opportunities
A growing, entrepreneurial firm with exceptional economics
More client exposure on Day One and significant international opportunities
Developing the best talent, where your good ideas and hard work are rewarded
Attractive compensation for performance
A company that is committed to work-life balance and having fun
Extensive opportunities to allow career flexibility including: corporate externships, 10/11-month work years or sabbaticals, non-profit fellowships, and international staffing opportunities

The type of work we do
Our challenging Consultant position offers exceptional career growth and opportunity to motivated and hardworking graduates. As a Consultant you will:
Work in teams to solve high level business problems facing half of the top Global 500 clients
Structure and carry out essential research and analysis
Lead complex quantitative, strategic and financial analyses of corporations and businesses
Receive support to develop leadership and client management skills
Receive broad exposure to a variety of industries including: Automotive, Aviation, Communications, Financial Services, Energy, Health & Life Sciences, Media, Retail, Surface Transportation and Technology.

Who can apply

We look for initiative, intuition and creativity with a strong background in problem solving and analytics. We do not require a specific academic major or industry experience. One of the best things we can do for our clients and ourselves is to recruit a diverse group of people who bring a broad range of strengths and backgrounds to their roles.

How to apply
To be considered please submit CV and cover letter and transcript

Oliver Wyman is an equal opportunity employer and a wholly owned subsidiary of Marsh & McLennan Companies.",-1.0,-1,https://indeed.nl/rc/clk?jk=e3e5d0ec3c7563ec&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=2cd2e3c7be865ddf&assa=7164,https://nl.indeed.com/vacature-bekijken?jk=e3e5d0ec3c7563ec&fccid=d46039b952140fd4&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
2,transportation,Indeed,pj_68c56424a3cb2686,Global Operations Specialist,Gete Global Ground Transportation Solutions, Hoofddorp,"We are looking for ambitious and internationally oriented young professionals. You will be the first point of contact for our customers and suppliers in 140 countries. As a member of the Operations team your role is to ensure high quality service delivery and provide excellent customer support.*Get-e is a fast-growing, global ground transportation management provider for businesses; servicing airlines, medical escorts and corporate clients in over 140 countries and 880 destinations. Get-e offers professional business taxi, executive chauffeurs, buses and similar transportation to our client base.Our team of colleagues is almost as international as our customer and supplier base. We speak 14 languages and are proudly represented by 10 nationalities. We support our customers 24 hours a day , 365 days a year, anywhere in the world.Are you our operations support specialist?Linguistic skills; fluent in both English and SpanishAbility to communicate on a business level with clarity and empathy. Communication is done verbally and written (phone, email and live chat)Available 16-32 hours per week1-2 years of experienceEducation up to Bachelor-degree level (in The Netherlands: hbo werk- en denkniveau)We support our customers 24/7/365 anywhere in the world. You must be available for 30% of shifts to work in nights and weekends.Interpersonal skills; enthusiasm for being part of a team and interacting with a global client baseWe are looking for ambitious, talented individuals with a global outlook to join our Operations team, who are excited by working in a dynamic environment. As an Global Operations Specialist, you will be the first point of contact for B2B customers and transport suppliers. At Get-e, we are obsessed with offering our customers full service, and we are only looking for new colleagues who are prepared to go the extra mile to deliver a great customer experience.You use your communication skills to assess the situation and the needs of the customer. You ask questions, communicate clearly and have a feeling for determining whether the customer or supplier is understanding your explanation. At Get-e, we are obsessed with customer service, and this is how we distinguish ourselves as a company. It is our mission to turn every contact with Get-e into an excellent customer experience. We appreciate it if you see opportunities for improvement and further expand our services, knowledge and specialities.What is in it for you?Be part of a fast-paced, fast-growing successful Dutch scale-upAn exciting, collaborative and supportive working atmosphereExperience of working in an international, B2B environmentContinuous improvement learning and personal developmentPotential to move into leadership rolesCompetitive salaryHow are we dealing with Covid-19?We are living and working in unusual times. At Get-e we work partially from home, depending on personal travel options and the health of yourself and those around you. Our renewed larger office remains open for staff-only. In the office we apply strict hygiene and distancing rules including wearing face-masks when not sitting behind your desk. **Start dateDo you recognize yourself in our profile? Good news! You can start as soon as possible, apply now!*Contractduur 8 maandenParttime uren: 16-32 per weekJob Types: Full-time, Part-time, Temporary, ContractSalary: Up to €2,100.00 per monthExperience:Customer Support: 1 year (Preferred)Education:Bachelor's (Preferred)Location:Hoofddorp (Preferred)Language:Fluent in English (Required)Fluent in Spanish (Required)Work Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A00h9ZsX8JVdlF3S0vNq3_uBC_gx92N9-4vTAoZ9A6gCMFbdcWzwZV_RiFNfizt8E9cwxNlY01yGQTywtu_vN0r74U53vlVJieUoHnUQzvS63SocHc--ngY0sQTulFjFUmf4eN7s9iC9RSHIusGAuwzwi_OR1MRhpa0gqnM4fmkWwPJNbymuGk6yewtkYmro4mtXWHT1MX7y3O2BAoCXUWLW_RSC1SFJyZ6sZZXAiPKFL9H1wK-UQob8SJ7C9f-LOxWAhaGr9GsXdBBVQKVB85coqipKk-6jHngc1PRzZmcon_CVUNqcMIHivP9MsipPUcOm8ANWOcutNaSxL7XHvRirSXeCBT-VeLbhGn-QX-FH7taG-MokgXAVVj2wqPGMjKeCnt96k0PdDQT-Lj7F3thBLhh58OByZ3r1idzDEp1JVorj2rneBH9hOirrW2VzFsCu71KxAI4yECL2VDE6VNVe0j1ojTo1Q=&p=2&fvj=1&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
3,transportation,Indeed,p_47b8bb1c93fb5789,Warehouse employee,123inktnl, Nederhorst den Berg,"Come and join our 123inkt-family as a warehouse employee at the best webshop in the Netherlands!123inkt.nl is growing enormously and we need your help with that! As a warehouse employee you have an active job. We can offer you stability, a pleasant working atmosphere and fixed working hours.What are you going to do?As a warehouse employee you will work in our packing warehouse. All packages will be packed and prepared here for our customers. You’ll have different tasks, such as stocking the warehouse, packing orders, order picking and unpacking incoming goods. We work with two shifts in our warehouse. You’ll be working the day shift one week and the evening shift the other week.What do we ask for?You are available full-time (40 hours);You are available on Sundays once every 6 weeks;You are willing to work in shifts;You can handle physically demanding work;You live in the proximity of Nederhorst den Berg (maximum 30 minutes travel time).What do we offer?Possibility of travel allowance;Central location, within 30 minutes from Amsterdam (A2) and Utrecht (A27);Public transportation possibilities and a shuttlebus between Hilversum central station and 123inkt.nl;Career opportunities;A company restaurant for breakfast, lunch and dinner;A pleasant working environment with the best colleagues.Soort dienstverband: Fulltime, Onbepaalde tijdArbeidsvoorwaarden:VrijdagmiddagborrelWerkschema:Ploegendienst",-1.0,-1,https://indeed.nl/rc/clk?jk=47b8bb1c93fb5789&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=26cc7bb841b742ca&assa=9952,https://nl.indeed.com/vacature-bekijken/company/123inkt.nl/jobs/Warehouse-Employee-47b8bb1c93fb5789?fccid=91d046a435636475&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
4,transportation,Indeed,p_d98bc44924925864,"New Markets Lead, EMEA",Tesla, Amsterdam,"New Markets Lead, EMEA
The Role
The EMEA New Market Leader owns the expansion roadmap and its successful implementation across all new markets in EMEA. He/ She collaborates with relevant teams and stakeholders across the entire project value chain from planning to realization on the ground for all projects related to expansion into new markets. Key stakeholders are real estate, market leaders and various HQ-functions to make sure we are staying on track to plan and proactively following up on our expansion plans. This role requires a strong leader that is familiar with business operations, has acute attention to detail, executes at a high caliber, and successfully drives projects through to completion. The EMEA New Market Lead is a member of the EMEA Leadership Team and reports directly to the EMEA Director.
Responsibilities:
Define the growth strategy and market entry plan for new markets in EMEA
Lead the necessary research and analysis required to create holistic business plans for new market entries. Including risk/opportunity analysis, Financial analysis, end to end requirements gathering, and timeline definition.
Lead the search and negotiation to open new markets and “un-chartered” territories – consolidating, aligning and driving the various stakeholders and parties that contribute to a market opening and ensuring its success
Coordinate the launch efforts for new markets across the various supporting functions ensuring all aspects of launch are managed in a timely manner, including website readiness, tax/trade, entity creation, communications, product readiness, homologation, Sales operations, Financing products
Work closely with Retail Development and Charging teams to ensure the necessary infrastructure is in place to support new market entries.
Where necessary, develop and nurture partnerships with third parties
Support in hiring first Tesla team members in new markets
Work with various teams to coordinate input of critical supplementary teams such as EHS, Security (physical security on site), HR (for workplace experience) and other to ensure our expansion efforts are supported and our physical footprint his healthy.
Work directly with key stakeholders to develop and execute against each new market’s growth plans. Be the conduit of information for all supporting functions involved in launching new markets.
Collaborate closely and build strong relationships with corresponding teams, contributors and stakeholders in other regions.

RequirementsStrategic thinkerSolid management experience, including managing Managers, hiring and developing high-performing teamsAble to influence at all levels internally and externally to drive decision making
Ability to deal with change and ambiguity, thriving in a fast-paced/ high-intensity environmentInnovation / re-writing the rules, challenging status quo,Demonstrated success in setting goals and priorities and driving for resultsHands-on approachExcellent analytical and communication skillsRelentless energy, and a strong drive for excellenceFlexibility in travel as required in roleFluent in EnglishPassion for Tesla’s mission to accelerate the transition to sustainable transportationAny additional European language is a plus.",-1.0,-1,https://indeed.nl/rc/clk?jk=d98bc44924925864&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=eb7b2871a541ed6f&assa=1018,https://nl.indeed.com/vacature-bekijken?jk=d98bc44924925864&fccid=86e9be6ce380173e&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
5,transportation,Indeed,p_024553930d674254,Carrier Representative,CH Robinson, Amsterdam,"If you want to make an impact on how consumer goods, products, and food travel in Europe on a daily basis, the Carrier Representative role at C.H. Robinson is for you! As our new team member, you will be developing, maintaining, and growing relationships between carriers and C.H. Robinson. Through this fast-paced, high-energy role you’ll make an impact on the European supply chain every day.

We are seeking dynamic and dedicated people to add to our team. You will be tasked to develop carrier capacity in Europe, build out carrier relationships, execute processes, have the responsibility for the development of routes and develop a carrier strategy for our service line throughout the European continent.
Your accountabilities will include:
Maintain and grow relationships with carrier accounts including conducting account reviews and identifying opportunities for additional collaboration,
Conduct calls with carriers to determine carrier availability and negotiate transportation rates,
Develop supply chain solutions in order to effectively support our customer go-to-market strategy,
Research new carriers in the marketplace, generate leads, and qualify new carrier relationships,
Ensure that specific customer load requirements are met on committed and/or transactional shipments,
Resolve problems, including identifying issues, thinking critically, seeking input to determine the best course of action, and implementing solutions.
Study and understand market trends and seasonality

Required qualifications:
Advanced (C1) level of English,
Experience in a commercial role,
Strong prioritization and multi-tasking skills,
Strong ability to persuade, motivate, negotiate, and influence others,
Ability to thrive under deadlines and work in a team environment, while also delivering independent results,
Ability to build strong relationships.
Preferred qualifications:
Good command of one of the following languages: Polish, Romanian, Bulgarian, Russian, Czech, Slovak, or Hungarian.
What does C.H. Robinson offer you?
Real career possibilities and the opportunity to develop your talent in a fast moving, global organization,
A fun, positive and open environment which encourages thinking outside the box,
Use and develop your language skills in our international work environment. Our offices speak over 26 European languages each day,
Compensation includes a monthly salary and bonus.
About C.H. Robinson

From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1.0,-1,https://indeed.nl/rc/clk?jk=024553930d674254&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=99cc1098dc9f6a86&assa=2433,https://nl.indeed.com/vacature-bekijken?jk=024553930d674254&fccid=090a7d416d718609&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
6,transportation,Indeed,p_0dc4e2d857181631,Junior Client Service Manager (NL),JustPremium, Amsterdam,"We’re looking for an ambitious and motivated Junior Client Service Manager to join our growing team!

At JustPremium, we bring creativity to digital advertising. We deliver engaging experiences for major brands, reaching audiences around the world.


Our ambitious and energetic team is comprised of over 130 people, across 13 offices, including London, New York, LA, Brussels, Düsseldorf, Dubai, Mexico City, and our headquarters in Amsterdam. With more than 10 billion available impressions, JustPremium is the world's first programmatic rich media marketplace for high impact advertisement. In 2017, Deloitte Fast 50 ranked JustPremium the 18th fastest tech growing company in the Netherlands.


If you would like to work in an environment where…
You collaborate with people who are energetic, creative and helpful
You have the opportunity to develop your skills and support your co-workers so that we can excel as a team.
We value equality and embrace diversity

…Then you would be a great candidate if you have the traits below:

Experience

Education background in Advertising, Marketing and/or Communication is a plus
1+ years experience in a client facing role
Knowledge of digital advertising a plus


Skills

Knowledge of online marketing/display advertising
Commercially driven
Service-minded
Fast learner with a can-do mentality
Strong verbal and written communication and persuasive skills
Well-organized and efficient – a detailed and methodical approach to every project
Excel savvy
Fluent in English – written and spoken, Dutch is strongly preferred


What You'll Be Doing (daily/monthly tasks)

Support the Sales team
Build and maintain strong relationships with existing and new clients
Manage inquiries from advertisers and media agencies
Provide white glove client support
Coordinate creative requests with our Design team


What you will love about us:

We are one of the coolest ad-tech companies around
We offer many opportunities for training and development
We host knowledge exchanges where anyone and everyone is invited to give a training
We offer great responsibility, ownership and a chance to grow and develop as a scale-up
You will have daily contact with motivated JustPremium teams around the globe. With 28 different nationalities, it is an intercultural experience.

Open working environment with convenient public transportation if you would like to work in the office.
Flexibility – currently this is WFH and we expect this to be a 50/50 split of working from home/office in the future


We are looking forward to seeing your application!",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=0dc4e2d857181631&fccid=8db55c9ad35e53c8&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
7,transportation,Indeed,p_93d4ec9add8bcdfa,Logistiek medewerker,Timtex Transport BV, Amsterdam Westpoort,"What we need from you in this roleResponsibility for the warehousing, inventory and order fulfilment of the Operation. Microsoft Office Suite knowledge will prove necessary. You will assist with unloading Inbound deliveries, inventory of incoming parts, testing, packing and shipping parts for customer orders. We are looking for someone who is meticulous in their work, capable of prioritising workload and helping continually improve processes.Key duties· Unload inbound vehicles.· Process inventory into customer online system· Pick scrap for delivery to our scrap partners· Receive and check purchase orders and quantities with a high Level of accuracy· Pick, clean and assemble hardware for equipment for sales orders within PICS Telecom· Perform visual quality inspections and testing of equipment· To ensure all items are packed to PICS standards and are safe and secure for international transportation and proper documentation is filed as directed by Export Compliance Manager (based at PICS UK)· Processing of sales orders with the desired shipping method, and to ensure all orders are dispatched/shipped by required ship by date.· Booking outbound shipments with relevant courier agency· Participate in automation of processes to make them more efficient and reliable.Person Specification· Excellent written and spoken English· Proficient in Microsoft Office Suite – in particular Microsoft Excel and Outlook.· Happy working alone and as part of a team dependent on the daily requirements· A can-do attitude· Strong work ethic· Strong attention to detail· Physical role· Has ability to meet deadlines· Shows initiative in gaining experience in areas of technology relevant to testing of company productsInteresse? Solliciteren kan in het Nederlands. Graag ontvangen wij je CV per e-mail.Job Type: Full-timeWork Remotely:No",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Timtex-Transport-BV/jobs/Logistiek-Medewerker-93d4ec9add8bcdfa?fccid=042ac59fd8b3746f&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
8,transportation,Indeed,p_30e3b9fd14613884,Office/Shipping Assistant,VIVOTEK, Hoofddorp,"Company Description

Delta Group established our EMEA operation in 1995 with region headquarters in Hoofddorp near Amsterdam to pursue Delta's corporate mission: ""To provide innovative, clean and efficient energy solutions for a better tomorrow."" For nearly 20 years, Delta EMEA continues to dedicate in R&D to support the most important businesses with advanced energy-saving technology and solutions.

Job Description

As an Office Assistant with VIVOTEK Netherlands B.V you will be responsible for
Work with related parties for logistics related activities.
Reports creating and maintain
Manage transportation/shipping documentation for all outbound shipping to customers
Maintains supplies by checking stock to determine inventory levels; anticipating requirements; placing and expediting orders; verifying receipt; stocking items; delivering supplies to work stations.
Assist in inventory management.
Maintains equipment by completing preventive maintenance; troubleshooting failures; calling for repairs; monitoring equipment operation; monitoring and purchasing meter fund
Serves customers by answering questions; forwarding messages; confirming customer orders; keeping customers informed of order status.
Apply VIVOTEK office and apartment bill and expense from daily operation.
Office Dutch document translation and Dutch contact person

Qualifications

Knowledge of “back-office” computer systems (ERP software)
English spoken and written comprehension: Mandatory
Proficiency in MS Office
Analytical abilities and attitude in problem-solving
Excellent written and verbal communication skills
Chinese spoken and written comprehension: A Plus
Additional Information

A challenging field of activity in a very motivated team, an international business environment and a customer focused company are waiting for you with lots of space for new ideas and to discover new paths! Use this opportunity and show us your motivation.
We are looking forward to hearing from you!",-1.0,-1,https://indeed.nl/rc/clk?jk=30e3b9fd14613884&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e364742e66e5565a&assa=7549,https://nl.indeed.com/vacature-bekijken?jk=30e3b9fd14613884&fccid=fa62cd4137888f8d&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
9,transportation,Indeed,pj_d92861adbe31c2f7,Regulatory Policies Expert,ABN AMRO Bank, Amsterdam,"Would you like to develop yourself in Regulatory Reporting and Data Management (delegated data user)? Are you able to combine knowledge of regulatory reporting, IFRS and internal control framework? Tell us your story! Financial Accounting/ Policies & Internal Control offers a challenging position to help build the new (delegated) data user function within Financial Accounting. In this role you set reporting requirements for the strategic new Finance and Risk reporting architecture (FRAAI-program). This all based on your solid knowledge of (newly) issued reporting legislation (regulatory and/or IFRS).

Your job
Policies & Internal Control is set up within Financial Accounting as a staff unit at ABN AMRO Group level. The department consists of 3 teams of experts (6-8 people per team) in the field of Regulatory policies, IFRS policies and Internal Control. Policies & Internal Control department is ABN AMRO’s center of expertise with regard to identifying, interpreting and assessing the impact of new regulations related to financial- and regulatory reporting and translating this in reporting- and process implementation requirements.
What is your role is the Regulatory Policies team?
Be part of a the team that consists of highly educated and/ or experienced financial professionals. As expert professional (in co-operation with your team members) you will be responsible for following-up new legislation related to regulatory reporting towards the supervisors (ECB, DNB, SRB). In this role and within ABN AMRO’s data management governance the Regulatory Policy department members are appointed as (delegated) data users for Financial Accounting/ Reporting. In this role the experts of the department are in the lead for setting groupwide reporting requirements, defining reporting data attributes (CDE Critical Data Elements) and validations rules. This based on extensive knowledge of and experience in EU Directives and Regulations. Knowledge of IFRS and accounting standards is certainly a benefit/ plus point.
Working environment
Policies & Internal Control is set up within Financial Accounting as a staff unit at ABN AMRO Group level. The department consists of 3 teams of experts (6-8 people per team) in the field of Regulatory policies, IFRS policies and Internal Control. Policies & Internal Control department is ABN AMRO’s center of expertise with regard to identifying, interpreting and assessing the impact of new regulations related to financial- and regulatory reporting and translating this in reporting- and process implementation requirements. Within ABN AMRO’s data management governance the Policy & Internal Control department is appointed as (delegated) data user for Financial Accounting/ Reporting. In this role the experts of the department are in the lead for defining reporting data attributes. This based on extensive knowledge of and experience in regulations and/ or IFRS standards.

Your profile
You have at least 4 – 6 years working experience in a relevant role
You have obtained a relevant University degree
You have a clear interest in external reporting and internal control. Candidates with experience of regulatory reporting (prudential and statistical) and the CRD / CRR frameworks have a considerable advantage
You have build-up knowledge in the fields of finance/ accounting, regulatory reporting, internal control
You can form your own opinion on complex matters and are not afraid to share this
You have excellent communication skills (verbal and written), in Dutch and preferably in English
You are a strong, independent and enthusiastic team player
We are offering
The opportunity to be the best you can be, work flexible hours and lots of room to grow both personally and professionally
The opportunity to pro-actively work on your vitality and fitness
A supplementary benefit budget of 11%, which you can spend on additional fringe benefits
A personal development budget of EUR 1.000 per year
An annual public transportation pass or travel budget, depending on the function
A solid pension plan
Interested?
For more information please contact Rolf Otten, rolf.otten@nl.abnamro.com or Jolanda van Houwelingen (jolanda.van.houwelingen@nl.abnamro.com) or apply online.",-1.0,-1,https://indeed.nl/rc/clk?jk=d92861adbe31c2f7&from=vj&sjdu=0ZFwD5rbjMRcHz87Kzx_g4iztdTb_2bOBnSpyL0eJqpG9OT3qRXibzaVojBrsHdR01nxrM7wyJa67dbYUGv6MO7lu7BolYW7ypiCN_jT8rQybFZO9eWGixHP7yjY0XLg9fPX-VdmO60YuBnaiSr0c3xfN_FITKvjILSi1pIp-TvKHuXUr0xyRolT8_v-p9Ctn2b1quBPlVgYAufnyzyq_A&spon=1&adid=341330116&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnu3zP8nC49W8vdwlFzj2GRkKZDq0K9B3CpNyRLIS_fNZW0W1kNS4F5At4Zo_fTqhxqaRtYtn98C5Oa2MZJAfYz6-jy3TBfVwAtqsIKhDUkdztXvMkJM7VGdvZ9ufWrOhCvQCWNoxvHaL9oF0fjHW0Lt_LyMPfuTecrkhRcuLW1JjgS6sG7vi21oEDEOavaBC9HuW1LOjBF9GvYdZMNFNvcaJNw36yD5kWIq2iw7cCLExAB1i3YM8rxAuLxs5_PsZIlxcEgwsxszXZ1M0vI-v-pvHlX4T5-vQN8oH7I5a5oIfNJ1es5htLg5YFbmEIHCTmfqPYO7NwyRm3Q0WSCqZHsSGQMi6yRc4rwGUVrHq5M6URY2rzsuzJJYYWM5X5sPGUGko62M4SSFsxb8e4tMzOwPQrWyQvw9uS5VRZ_8nZQPkoKcxuyQwlf-eb7NNITFC3J71UuL8YVTqOo2Z1H1IvwKvPdr-ddPISKBxEr3LL93TFQGEAck7CfhYb-rJT7DZQnFlL63zOaP57T5IZQ_7hA1oajdhkT4n8LespyE3Ny9Ll5gR_5KmmwxKr5amn5pDYsW2QI_9NjsULlftSMvrVV2Nw4maDaGEuQhU8P0eb8vSiRVATyHBJjiSlrUiD_x_-0UdE9ly1rPrftrHWW8n9oV_xz9UEV5wjKpTM8HxZ0sDSVoAL9BIeLyDhWmMMsUKKZMwVR1LrfucWtnxnX4wggsoc4JzVV69EPpJa9cZAbLd&astse=014ab521436028fa&assa=9284,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnu3zP8nC49W8vdwlFzj2GRkKZDq0K9B3CpNyRLIS_fNZW0W1kNS4F5At4Zo_fTqhxqaRtYtn98C5Oa2MZJAfYz6-jy3TBfVwAtqsIKhDUkdztXvMkJM7VGdvZ9ufWrOhCvQCWNoxvHaL9oF0fjHW0Lt_LyMPfuTecrkhRcuLW1JjgS6sG7vi21oEDEOavaBC9HuW1LOjBF9GvYdZMNFNvcaJNw36yD5kWIq2iw7cCLExAB1i3YM8rxAuLxs5_PsZIlxcEgwsxszXZ1M0vI-v-pvHlX4T5-vQN8oH7I5a5oIfNJ1es5htLg5YFbmEIHCTmfqPYO7NwyRm3Q0WSCqZHsSGQMi6yRc4rwGUVrHq5M6URY2rzsuzJJYYWM5X5sPGUGko62M4SSFsxb8e4tMzOwPQrWyQvw9uS5VRZ_8nZQPkoKcxuyQwlf-eb7NNITFC3J71UuL8YVTqOo2Z1H1IvwKvPdr-ddPISKBxEr3LL93TFQGEAck7CfhYb-rJT7DZQnFlL63zOaP57T5IZQ_7hA1oajdhkT4n8LespyE3Ny9Ll5gR_5KmmwxKr5amn5pDYsW2QI_9NjsULlftSMvrVV2Nw4maDaGEuQhU8P0eb8vSiRVATyHBJjiSlrUiD_x_-0UdE9ly1rPrftrHWW8n9oV_xz9UEV5wjKpTM8HxZ0sDSVoAL9BIeLyDhWmMMsUKKZMwVR1LrfucWtnxnX4wggsoc4JzVV69EPpJa9cZAbLd&p=9&fvj=0&vjs=3,6 dagen geleden,6 dagen geleden,2021-01-22,en,Neutral
