,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,service,Indeed,p_366b5e78d6a87bac,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=366b5e78d6a87bac&fccid=d24ac52f999fe404&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
1,service,Indeed,p_51f094ccff17cd56,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=51f094ccff17cd56&fccid=25ddb1aad5c942c6&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
2,service,Indeed,p_f6a0228a9adc075d,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=f6a0228a9adc075d&fccid=eb44d3b6d96b0ada&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
3,service,Indeed,p_2920e89a3bd98943,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=2920e89a3bd98943&fccid=f17180ffbe436a3c&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
4,service,Indeed,p_5c7007f4adcd18ad,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=5c7007f4adcd18ad&fccid=390794864aacd078&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
5,service,Indeed,p_49eb64786053988c,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken/company/Urban-Lodge-Hotel/jobs/Creative-Social-Media-Content-Medewerker-49eb64786053988c?fccid=30b54ddcbae264a4&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
6,service,Indeed,pj_64da531b94f2c0c8,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0B44XHNqd3z2nMeGp8MScSC5IFI4oGrnR3_pYgOSN14cbS3P8gijNDn0GadAg9u0m8pMzChdlB7mLbfhYNVkTPVTOkjMnETp7GodbO33iGxJ2VS0eocPyYcQbE6Tlsm3nWFRfLMeXZfp1d4rRtETEoDUoswAeIysJIZ87y4nRNdhFV0fjpwIf2pZbO2vGuSJjQC-f0tCPmuMmv03B4rPrxNdxBD3Mg2QtflU_USDTaIgF3DKmVxNVgoNl1UY3YDFSTSd_i55ygG2zH1DVIqh96rBoJmGklGRkTKCXT-ed9HqvbNnmatLW40hEVQrIcklxA2ew8vLsndvcO60aJruVdZ-1c7i5_RP8R2y5NfjilYB8aCms-ELzy-XelTEauVaA8Hm-CEO6OD_XXSjAZXlPxg5Cse4RJXmfXZpLtBlr4ebetEzs-XWAO26VhgV8gxbWi4nNRiEHsE5BYk6vYS4lR7egMuediGtGw=&p=6&fvj=1&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
7,service,Indeed,p_a91ad314a3c1ab88,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken?jk=a91ad314a3c1ab88&fccid=cbc70e216440daf1&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
8,service,Indeed,p_41203dc50513ae08,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken/company/Special-Cargo-Services/jobs/Content-Creator-41203dc50513ae08?fccid=0899acb510968e7a&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
9,service,Indeed,pj_6002d582207066d3,Digital Copy Content Expert,New10 BV, Amsterdam,"Jouw rol in het kort
Jij bent de stem van New10 en maakt aansprekende content amp; heldere teksten voor de hele customer journey.
Voor ons marketingteam zijn we op zoek naar een fulltime Digital Content amp; Copy Expert die onze contentstrategie naar een hoger niveau tilt. In deze functie ga je de rol van content in de marketing en salesfunnel verstevigen en met contentmarketing bijdragen aan onze groeiambities. Je bent verantwoordelijk voor de contentstrategie, contentcreatie en (product)copy op de website en in de funnel. Je bent de spil in het web op copy vlak en werkt samen met het marketing amp; salesteam, data-analisten, customer service, UX-designers en developers om onze missie te realiseren: ondernemers helpen om hun bedrijf te laten groeien",-1.0,-1,https://indeed.nl/rc/clk?jk=366b5e78d6a87bac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e8b7e8388e950a69&assa=3759,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0B9ncCjVygRjlOeaYfNmTIisbUp_hi4QzA_-fBu-i6bXJ1YPyEt9z7_z8djat6_4kCjMeQY8BB6ohXXN1R6xlgRMPKBFw9iMU7b67sK4arGldrKJ1gM6pNGJA_iitho1xfsnEaJedgYqm8fZXxfwJ4L_FlaLLVGbCOWqoz7KAWh5e5P4PSBrqF1-RHsPMo6zNFmwCrAhry4mD0dZkcJ_Wdv_UR7huWXyARn8wQjhL477DVRtpQBnwBqkBe8jxUKZviue79VZU2gp-_1ayCca9pXoSN_hM1LxunyhgC5Mmg_085ceqKfoCvR05Xi4T9LPQScLGvNT-RWiFLD-YrVxPuZ4ZG-wNPMWTwyO18JmPQsyUvx04gp4O3f7hjxeKGg2GiN5Smx1r4vT-QhmzcUydLAv_eMEfiwtS4Ckjj0JdYi8PjzlmC8pRWBN1h3MyWwoJHWq1gqM1KIciJ1XPQk5cElS9O9bC_wVRCV-mv_UetaDPJjAZXd5QM2kRwlY6L5mwSW-4h3eRC699_YPdcX85mP201UkHv7aUNEY6lfAg19In8bXvwNFunz8TJ0Zy-eCe4x7NCG3vjwZ-ZtHmBMDRfFtFnNYOq29TrRLSbd8l5auBpZXA5thEuzgX8jHT0Aq030MTPIL_rwhZr1zTRCcyrjifQNdkH0LYUm2R4ZHnsT4QPwdbFp5hozMd967AESoqO5irXFfDHE4tzcAMHpp3y6SU3cKdAVOIxzTha4POd2A7hnNJHn5sPELK3zf4cf5nwnQmGMsv5Qtzf6c36dJJDVAk0CbyTdMMo=&p=9&fvj=0&vjs=3,14 dagen geleden,14 dagen geleden,2021-03-24,en,Neutral
