,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Industry,Sector,Job Description,Type of ownership,Rating,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,culture,Glassdoor,4020687391,Cell Therapy Specialist,Kite Pharma,Amsterdam,Biotechnologie en farmacie,Biotechnologie en farmacie,"Job DescriptionKite is seeking a highly motivated individual with cell culture experience to work on innovative T cell therapy for cancer treatment. The Cell Therapy Specialist will be responsible for cell processing and cell expansion in a cGMP manufacturing facility.In this role, you will work with other Cell Therapy Specialists utilizing GMP and Aseptic practices to manufacture and assemble blood-derived components in a cleanroom environment. Due to the nature of the starting material (patient cells), this role requires a high level of proficiency and ownership of the process, with the highest skill level of aseptic and sterile techniques.Kite, A Gilead CompanyAt Kite, we are at the forefront of immunotherapy and engineered T cell therapy. We are helping change the paradigm of cancer treatment and we are revolutionizing individually tailored treatments. That means a fast-moving and constantly changing environment, where we make discoveries every day – discoveries that include our own capabilities and our individual potential. We’re currently seeking to recruit highly motivated talents for different positions, to join us and be part of our exciting journey in the development of innovative cancer immunotherapies and their translation into the treatment of patientswith cancer.Department DescriptionAs Cell Therapy Specialist you’ll be joining a team in which people of all backgrounds and experiences are respected, and where working together focused on saving lives, by finding the cure for cancer, is a daily activity.You will be reporting to one of the Team Leads Manufacturing.Your responsibilities, among others, will be:To perform all tasks associated with the manufacturing of clinical and commercial products in A and B grade area following batch records and standard operating procedures (SOPs);To work as part of a dedicated and committed team to execute GMP runs in close collaboration with Product Sciences, Material Management, and Quality Assurance & Quality Control;Draft new and revise existing manufacturing Batch records / SOP’s / WI’s to support process improvements and maintain GMP compliance;Assist in investigations required to manage deviations;Assist in managing change controls;To successfully troubleshoot processing and equipment issues;To strictly comply with SOPs and cGMP regulations; accurately complete documentation associated with clinical and commercial manufacturing;To ensure a consistent process execution to guarantee high-quality output;To maintain cleanroom in an optimal state;To continuously look for improvements to the processes to increase quality and efficiency;Additional information:This role requires you to work in a shift schedule (including weekends)Your profileThe ideal candidates for this position, in combination with skills and knowledge, should also have a ‘hands-on, can-do’ mentality. You must also be comfortable with working in full gowning requirements in a completely aseptic environment.MBO/HBO (MBO Level +) with a background in Life SciencesVapro A and B, or LITOP A and B are considered a plusMinimum of 3 years of cGMP experience in preferably a pharmaceutical / biotechnology or similar manufacturing environment;Must have demonstrated knowledge of pharmaceutical manufacturing of biotechnology products.Aseptic processing and cell culture processing in combination with cell culture equipment experience is a prerequisite;Skilled in Microsoft Word, Excel and data analysis.Personal skillsBe aware of following SOPs, curious and interested in learning and growing;Be comfortable in a fast-paced, growing company environment with minimal direction and able to adjust workload based upon changing priorities;Be self-motivated and willing to accept temporary responsibilities outside of the initial job description;Excellent interpersonal, verbal and written English communication skills (Dutch is not required)What we offer you as your future employerMeaningful work where employees in all areas contribute to our mission of finding a cure for cancerInnovative organization with a multicultural working environmentVery competitive and performance-based remunerationPaid vacation leaveVery good pension contribution planHealth and Welfare BenefitsCommuting supportEmployee Stock Purchase PlanEmployee recognition and anniversary awardsApply Now!As part of our recruitment process, you will be asked to complete a short 20-minute online Occupational Personality Questionnaire (OPQ) and/or a capability test.",Beursgenoteerd bedrijf,3.6,https://www.glassdoor.nl/https://www.glassdoor.nl/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001787cc6f9e3aff0add654915e0c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ac68616d&cb=1617001118571&jobListingId=4020687391,https://www.glassdoor.nl/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001787cc6f9e3aff0add654915e0c&src=GD_JOB_AD&t=SR&vt=w&cs=1_5ecf2d71&cb=1617001118571&jobListingId=4020687391,25d,25d,2021-03-29,en,Neutral
1,culture,Glassdoor,4040376215,Cell Therapy Specialist,Moedigh,Amsterdam,-1,-1,"Loopbaanconsultant Staatvandienst regio Amsterdam / Haarlem""Wil jij loopbaanvraagstukken doorvertalen naar concrete arbeidsmogelijkheden?""Als loopbaanconsultant begeleid jij mensen bij veranderingen in hun loopbaan. Ook begeleid je mensen die al langer uit het arbeidsproces zijn terug naar de arbeidsmarkt. In alle gevallen gaat het om loopbaanvraagstukken die samenhangen met persoonlijke ontwikkeling en inzetbaarheid, organisatorische veranderingen of arbeidsongeschiktheid. Of het nu gaat om de bestaande werkomgeving of om een stap naar buiten, jij bent in staat loopbaanveranderingen te realiseren die niemand voor mogelijk had gehouden, behalve jijzelf!Je ziet in ieder mens kansen en kunt deze samen met je kandidaat doorvertalen naar concrete arbeidsmogelijkheden. Je coacht mensen door hen inzicht te geven in zichzelf, hun mogelijkheden en de arbeidsmarkt. Je brengt al deze aspecten samen. De ene keer door zelf met werkgevers in contact te treden, de andere keer door mensen net dat ene zetje te geven, te luisteren, ter reflecteren, mensen hun vertrouwen terug te geven en hen te ondersteunen in hun ""personal branding"". Je doelstelling is om mensen te bemiddelen naar een nieuwe stap op de arbeidsmarkt.Naast het begeleiden van kandidaten ben je tevens verantwoordelijk om samen met je collega's de regio Noord Holland van Staatvandienst verder uit te bouwen. Je signaleert kansen en legt nieuwe contacten, zowel met het bedrijfsleven als met het UWV. Je weet bij organisaties, zowel bestaande relaties als nieuwe relaties, het gesprek te voeren over hetgeen hen op het gebied van arbeidsmobiliteit in de breedste zin van het woord bezighoudt. Vanuit deze contacten zorg jij voor nieuwe opdrachten waarmee jij en je collega’s aan de slag kunnen.AmsterdamVast32 uurFunctie-eisenWat maakt jou uniek als loopbaanconsultant?Je denkt in kansen en krijgt het bijna ook altijd voor elkaar deze te realiseren. Je bent commercieel-sociaal en weet dat zakelijke belangen en persoonlijke belangen hand in hand gaan. Jouw vasthoudendheid blijkt uit o.a. een afgeronde HBO Bachelor/WO opleiding en stabiel werkverleden. Verder vragen wij:CMI of NOLOC gecertificeerd (is een pre);werkervaring in commerciële arbeidsbemiddeling (bijvoorbeeld uitzenden, W&S, corporate recruitment, re-integratie 1e/2e spoor en/of outplacement);kennis van en ervaring met Wvp en het UWV omtrent de Ziektewet en WIA;vanwege regionale focus woon je in de regio Noord Holland;beschikking over een eigen auto;Waar kom je te werken?Staatvandienst begeleid kandidaten bij het maken van belangrijke keuzes in hun loopbaanpad. De consultants van Staatvandienst geloven ‘dat er altijd meer in mensen zit, dan zij er zelf uithalen’. Als organisatie zijn zij constant vernieuwend, hebben ze verstand van zaken en hanteren ze een grondige aanpak. Samenwerkend met plezier en aandacht voor elkaar en voor de mensen die zij begeleiden. Kandidaten leren dat zij zelf de regie hebben op hun loopbaan, of zoals zij zeggen: '""Je loopbaan, dat ben jij!"" Naast hard werken zij ze bij Staatvandienst ook dol op gezellige feestjes.#samenmakenweerwerkvan!ArbeidsvoorwaardenWat krijg je er voor terug?Een inspirerende werkomgeving waar veel aandacht is voor persoonlijke én professionele ontwikkeling. Je bent onderdeel van een groeiende organisatie met dito ambitie. Vrijheid, vertrouwen, verbinding én het vieren van successen is wat je ervaart in de samenwerking met onze collega’s. Arbeidsvoorwaarden bestaan uit een marktconform salaris, 25 vakantiedagen, pensioenregeling, opleidingsmogelijkheden, intern loopbaanadvies en heel veel werkplezier….SollicitatieprocedureHerken jij je in bovenstaande profiel?Moedigh gaat graag met jou in gesprek. Samen bepalen we of de functie, jouw competenties, jouw ambitie en de cultuur van de organisatie op elkaar aansluiten. Vervolgens gaat de procedure verder binnen Staatvandienst en maak je kennis met de betreffende Manager, HRM en de directie. Als je nog vragen hebt bel dan Karin op 06-82 29 59 77.
Loopbaanconsultant Staatvandienst regio Amsterdam / Haarlem""Wil jij loopbaanvraagstukken doorvertalen naar concrete arbeidsmogelijkheden?""Als loopbaanconsultant begeleid jij mensen bij veranderingen in hun loopbaan. Ook begeleid je mensen die al langer uit het arbeidsproces zijn terug naar de arbeidsmarkt. In alle gevallen gaat het om loopbaanvraagstukken die samenhangen met persoonlijke ontwikkeling en inzetbaarheid, organisatorische veranderingen of arbeidsongeschiktheid. Of het nu gaat om de bestaande werkomgeving of om een stap naar buiten, jij bent in staat loopbaanveranderingen te realiseren die niemand voor mogelijk had gehouden, behalve jijzelf!Je ziet in ieder mens kansen en kunt deze samen met je kandidaat doorvertalen naar concrete arbeidsmogelijkheden. Je coacht mensen door hen inzicht te geven in zichzelf, hun mogelijkheden en de arbeidsmarkt. Je brengt al deze aspecten samen. De ene keer door zelf met werkgevers in contact te treden, de andere keer door mensen net dat ene zetje te geven, te luisteren, ter reflecteren, mensen hun vertrouwen terug te geven en hen te ondersteunen in hun ""personal branding"". Je doelstelling is om mensen te bemiddelen naar een nieuwe stap op de arbeidsmarkt.Naast het begeleiden van kandidaten ben je tevens verantwoordelijk om samen met je collega's de regio Noord Holland van Staatvandienst verder uit te bouwen. Je signaleert kansen en legt nieuwe contacten, zowel met het bedrijfsleven als met het UWV. Je weet bij organisaties, zowel bestaande relaties als nieuwe relaties, het gesprek te voeren over hetgeen hen op het gebied van arbeidsmobiliteit in de breedste zin van het woord bezighoudt. Vanuit deze contacten zorg jij voor nieuwe opdrachten waarmee jij en je collega’s aan de slag kunnen.
Naast het begeleiden van kandidaten ben je tevens verantwoordelijk om samen met je collega's de regio Noord Holland van Staatvandienst verder uit te bouwen. Je signaleert kansen en legt nieuwe contacten, zowel met het bedrijfsleven als met het UWV. Je weet bij organisaties, zowel bestaande relaties als nieuwe relaties, het gesprek te voeren over hetgeen hen op het gebied van arbeidsmobiliteit in de breedste zin van het woord bezighoudt. Vanuit deze contacten zorg jij voor nieuwe opdrachten waarmee jij en je collega’s aan de slag kunnen.
AmsterdamVast32 uur
AmsterdamVast32 uur
AmsterdamVast32 uur
AmsterdamVast
32 uur

Functie-eisenWat maakt jou uniek als loopbaanconsultant?Je denkt in kansen en krijgt het bijna ook altijd voor elkaar deze te realiseren. Je bent commercieel-sociaal en weet dat zakelijke belangen en persoonlijke belangen hand in hand gaan. Jouw vasthoudendheid blijkt uit o.a. een afgeronde HBO Bachelor/WO opleiding en stabiel werkverleden. Verder vragen wij:CMI of NOLOC gecertificeerd (is een pre);werkervaring in commerciële arbeidsbemiddeling (bijvoorbeeld uitzenden, W&S, corporate recruitment, re-integratie 1e/2e spoor en/of outplacement);kennis van en ervaring met Wvp en het UWV omtrent de Ziektewet en WIA;vanwege regionale focus woon je in de regio Noord Holland;beschikking over een eigen auto;Waar kom je te werken?Staatvandienst begeleid kandidaten bij het maken van belangrijke keuzes in hun loopbaanpad. De consultants van Staatvandienst geloven ‘dat er altijd meer in mensen zit, dan zij er zelf uithalen’. Als organisatie zijn zij constant vernieuwend, hebben ze verstand van zaken en hanteren ze een grondige aanpak. Samenwerkend met plezier en aandacht voor elkaar en voor de mensen die zij begeleiden. Kandidaten leren dat zij zelf de regie hebben op hun loopbaan, of zoals zij zeggen: '""Je loopbaan, dat ben jij!"" Naast hard werken zij ze bij Staatvandienst ook dol op gezellige feestjes.#samenmakenweerwerkvan!ArbeidsvoorwaardenWat krijg je er voor terug?Een inspirerende werkomgeving waar veel aandacht is voor persoonlijke én professionele ontwikkeling. Je bent onderdeel van een groeiende organisatie met dito ambitie. Vrijheid, vertrouwen, verbinding én het vieren van successen is wat je ervaart in de samenwerking met onze collega’s. Arbeidsvoorwaarden bestaan uit een marktconform salaris, 25 vakantiedagen, pensioenregeling, opleidingsmogelijkheden, intern loopbaanadvies en heel veel werkplezier….SollicitatieprocedureHerken jij je in bovenstaande profiel?Moedigh gaat graag met jou in gesprek. Samen bepalen we of de functie, jouw competenties, jouw ambitie en de cultuur van de organisatie op elkaar aansluiten. Vervolgens gaat de procedure verder binnen Staatvandienst en maak je kennis met de betreffende Manager, HRM en de directie. Als je nog vragen hebt bel dan Karin op 06-82 29 59 77.
Herken jij je in bovenstaande profiel?Moedigh gaat graag met jou in gesprek. Samen bepalen we of de functie, jouw competenties, jouw ambitie en de cultuur van de organisatie op elkaar aansluiten. Vervolgens gaat de procedure verder binnen Staatvandienst en maak je kennis met de betreffende Manager, HRM en de directie. Als je nog vragen hebt bel dan Karin op 06-82 29 59 77.",-1,3.9,https://www.glassdoor.nl/https://www.glassdoor.nl/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001787cc6f9e3aff0add654915e0c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_90810107&cb=1617001118574&jobListingId=4040376215,https://www.glassdoor.nl/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001787cc6f9e3aff0add654915e0c&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb29f5d8&cb=1617001118574&jobListingId=4040376215,5d,5d,2021-03-29,nl,Neutral
