,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,food serving,Indeed,pj_1d024a77025fb9f4,Senior Infrastructure Engineer,Kerry Logistics Network Ltd," De Hoek, Hoofddorp","Company descriptionKerry Logistics is a leading Asia-based logistics service provider, global market leader in freight forwarding and listed on the Hong Kong Stock Exchange (636), with 47,000+ employees in 550+ offices that stretch across six continents. We offer end-to-end supply chain solutions for multinational corporations and international brands – from sourcing and manufacturing, to selling across the globe. We are the logistics partner of many of the top 100 brands across a wide range of industries – including fashion & lifestyle, electronics & technology, food & beverage, wine, FMCG, industrial & material science, automotive, and pharmaceutical & healthcare. Our global businesses offer a wide range of exciting career opportunities and are constantly looking for experienced industry professionals as well as young talents.Is this the team for you?In the IT team, we are on a strong growth path due to a number of recent company acquisitions. With our main locations in Germany (Bremen), UK (Manchester), NL (Amsterdam / Rotterdam) and Poland (Poznan) we are currently serving more than one thousand users across Europe providing a range of services from Application development to Infrastructure operations. Our IT headquarters are located in Hong Kong, providing us with state-of-the-art solutions for the logistics industry. We are a diverse team of various nationality, age and experience, bound together by a passion for delivering top quality services and solutions. Put simply - the best environment to learn and have fun.Is this the role that's waiting for you?As one of our Senior Infrastructure Engineers, you will be responsible for build, delivery and support of a wide range of solutions using the latest cloud and on-premise infrastructure technologies. Using your in-depth technical expertise, you will ensure the highest levels of system availability and performance across all of our European locations. As a key member of the IT team, people at all levels of our business will depend on your strong analytical / problem solving skills to deliver high quality solutions to complex issues, as well as delivering on key infrastructure deployment projects.Would you be the perfect person for this position?Strong hands-on enterprise level experience of cloud, on-premise and virtualised infrastructure technologyIn depth knowledge of Microsoft Server and Workstation environmentsDemonstrable experience of network design, implementation and troubleshootingAbility to work independently within a project management frameworkCommitment to providing high level technical support to IT Service Desk colleagues and end-users alikeConversational English language skills essentialAnd we sacrifice even more than a top team!Upon joining, we'll support you with an intensive onboarding plan, and your team will always be by your side to help and support you. Boredom is never an issue here. With flat hierarchies you will work directly with decision makers and rapidly take on responsibility.IT is the fastest changing area in every company but keeping up with the latest technologies is crucial to our success. Constant learning and training will therefore be an integral part of your development.We trust in you and your capabilities and it's your results that count, so flexible working hours are a given for us.You want to learn more about the world and other cultures? Logistics is your industry, and Kerry Logistics is your organisation. You will work together with colleagues across Europe and with headquarters in Asia, new acquisitions in Africa and the Middle East ... you never know where this opportunity could take you!Benefits:Work from home possibilitiesJob Types: Full-time, PermanentSalary: €4,500.00 - €5,400.00 per month",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CAsTTA7xhKD4oZfTh1h1oIFM36ym0FqUaElwmRGxpHWKvlOfijX9Ju-4PKF7WTTjzrYe95AdxoH8y_Ic4hfPj2F40YbOLomOo2wQ4bIL1_bTuA6JDmC3rf-KKgTK6wHagrdEXLYgftoKT0rlj5CNO3XokBtlRcUJdpXh-c-pq3Bh11PhYw4R-kNDaSCoD8B1D2bLeacU3ScJS2z2oBmY6PbNRsJnQayzjtWBGkl-bOOr1utprN4QEyPXzdrFX8Iwf2SSDVJFQkgjpq_bE3beYqcSgu5sLisFPk-47rwRB70Rnx-H0ffCvmcUuNIazmXKXr5zG0NbZ3rKvDVmcdqNSK1IDuLuY3lVpgq56qOU5iXuf672ya-xSshWr2DfBD2iwT8d056hHvF7LWh_SQD0XEVE1BaUq8WUNqfRTlSmk-pFSXhyElng05gmYwyng5OrhmGX0din6liDjHYt3T6OSWGDLjozkF6BY=&p=0&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
1,food serving,Indeed,p_d19809f886116f92,All around medewerker,Kazik, Amsterdam,"Cześć!Are you a hard-working, dedicated and flexible person? Do you have experience in the kitchen and have passion for cooking/ baking & eating? Then you are a right person to apply for the position of the –All around part-time Talent at Kazik Amsterdam located at Bilderdijkstraat.Kazik Amsterdam has the simple concept: Kazik – the living room of Cracow in the Centre of Amsterdam. Authentic, home-made, Polish comfort food that will trigger your palate and soul. The simple concept of Polish snacks & vegan lunch options combined with traditional cakes and high quality coffee.Job description: - Responsible for preparing ‘’ Zapiekanka’’ [PL], cleanliness at the kitchen, M&P, stock.- Preparing coffees, serving cakes, preparing food for take away and delivery- Taking care of guests’ requests & wishes- Operating the kassa system- Daily cleaning and all- around duties- Responsible for opening & closing.Requirements: - FLUENT POLISH language. (It’s very important to speak Polish as we do have many Polish guests!)- Communicative Dutch - Many neighbours visit Kazik as well therefore Dutch language is required.- English language is extra point.- Living in Amsterdam- Flexible to work in the morning or afternoon.- Multitasker, well-organized and communicative!- Baking and cooking skills are required.- Previous Kitchen experience is pre.- Young professional – not a student.- Self- motivated and dedicated.- Logical and analytical thinkerOffer: - The part-time contract for 6 months.- Starting : 1 February- Work: 3-4 times per week.- Training and on-boarding.- Possibility to grow to the Manager of the shop.- 1 meal per day and unlimited coffee!- Great work atmosphere and casual working environment (no uniform and stiff attitude)- A sentimental trip to Cracow not only culinary but spiritual ( Polish music!)If you do love Polish culture and you do have the attitude of ‘’ owning’’ business please do not hesitate to send your CV of if preferred pass by Kazik : Bilderdijkstraat 202A to leave your CV.See you at Kazik!KasiaContractduur 6 maandenParttime uren: 24 per weekVerwachte startdatum: 1-2-2021Soort dienstverband: Parttime, Bepaalde tijdWerkschema:DagdienstWeekendErvaring:Kitchen: 1 jaar (Aanbevolen)",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Kazik/jobs/All-Around-Medewerker-d19809f886116f92?fccid=dcd2abb2b97d13a9&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
2,food serving,Indeed,p_7751c537bfee68b0,TEAM MEMBER,Salsa Shop, Amsterdam,"Job Description
Being part of the SALSA Family takes a special kind of person: Someone with a great passion for high quality food, high standards and excellent customer service. Our employees take ownership of the day-to-day restaurant operations and make sure we serve ‘Good Food, Fast’.

If you’re not convinced yet, come in and try our food, but be warned: you may get addicted!

Profile & Experience
You have had at least one meal at SALSA SHOP.
You are 18 years of age (or older) & ready for an adventure.
You can speak Dutch & English.
You can maintain a professional appearance at all times and a cheerful and friendly attitude with all guests & colleagues.
You work with energy, enthusiasm, a positive approach and urgency for all tasks and responsibilities and help others when needed or requested.
Primary Reponsibilities

Include, but are not limited to
To have fun working alongside your colleagues at SALSA SHOP.
Make our customers happy by serving great food and a friendly attitude.
To (learn how to) roll the perfect burrito: it’s not easy – believe us!
Become a part of something new and exciting with possibilities to grow within the company.
Learn about food & becoming a chef.
Keep the restaurant clean at all times by following health and safety regulations.",-1.0,-1,https://indeed.nl/rc/clk?jk=7751c537bfee68b0&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=1a03c1c9c0b2356a&assa=2178,https://nl.indeed.com/vacature-bekijken?jk=7751c537bfee68b0&fccid=f3ef24455f19ca3c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
3,food serving,Indeed,p_2f604f04caac7586,Runner,Hosokawa, Amsterdam,"Task & Responsibilities:
Support to all departments.
Helping a waiter / waitress with serving tables.
Assist whenever needed.
Setting and breaking down tables.
Serving food and beverages
Ensuring that the tables and restaurant remain clean
Following guidelines with regards to safety, Arbo, hygiene and HACCP.
Profile:
You are representative and guest oriented
You have a flexible work attitude with regards to work shifts
Attention to detail
Helpful and friendly team player
High level of stress management
Good communication skills
Anticipation
Knowledge of the Japanese culture and customs is an advantage
Requirements:
You are fluent in English, both oral and written. The ability to speak and write Dutch or Japanese is an advantage.
You have relevant work experience; preferably few years experience in a similar restaurant and have sufficient knowledge of Japanese dishes and menu’s.",-1.0,-1,https://indeed.nl/rc/clk?jk=2f604f04caac7586&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=7d09e55d03a0a94e&assa=8739,https://nl.indeed.com/vacature-bekijken?jk=2f604f04caac7586&fccid=3564ec9055b4515c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
4,food serving,Indeed,p_94c9ded72cbbc004,UEFA EURO 2020 Intern,Takeawaycom, Amsterdam,"Want to join a winning team for UEFA Euro 2020? From planning events to adding fresh ideas and organizing projects, you could be at the heart of our line-up this summer...
Our story (the bitesize version)
Food and football. Name a more iconic duo.
With millions of orders across 24 international markets, we're proud to be the largest online food delivery service in Europe. And this summer, we'll be joining the action for UEFA Euro 2020, with Takeaway.com being a key tournament sponsor.
While we can't guarantee your team a trip to the final at Wembley Stadium, we're ready to deliver on the big stage – serving everything from pre-game to half-time hotdogs.
All about the role
In our Internship: UEFA Euro 2020, you'll play a key part in our UEFA Sponsorship team, supporting our specialists throughout the build-up and the tournament itself. That includes helping to ensure our sponsorship initiatives are structured, effective, and packed with that unique Takeaway.com flavour.
Want to be at the heart of the action? From getting to grips with new projects to planning internal events and contributing to meetings, your ideas and organisational skills will be a big asset.
In this varied internship, your other goals are:
Undertaking communications work, keeping colleagues in the loop on our initiatives & dealing with FAQs
Collaborating effectively with fellow sponsorship specialists and other business colleagues
Building an understanding of what makes both the tournament and our ordering platform special
Can you deliver…
Want to be our Euro 2020 intern? Then we hope you can score for the points below:
Studying for a Master's degree in Business, Media, Marketing or Sports Management
Strong communication & organisational skills, and able to adapt to new challenges
Able to create interesting, on-brand content for multiple platforms
Comfortable working in a team environment and dealing with multiple stakeholders on a day-to-day basis
Previous experience of volunteering/working at a major sporting event is a big plus
Knowledge and enthusiasm. We don't expect you to know that Italy beat Armenia 9-1 in qualifying, but a passion for football and the tournament is a huge advantage!
Fluent English (written & spoken)
Here is our offer
Want some job perks which give you that winning feeling? They're right here:
Competitive compensation
The chance to work with UEFA and at the heart of a global food delivery business
Opportunities for personal & professional development, working with sponsorship experts
Fantastic team and company events
A dynamic, friendly workplace in the heart of Amsterdam (when you're in the office)
Working from home allowance and a budget for ordering lunches
Join us on the road to UEFA Euro 2020 glory! Click Apply Now and send us your motivational letter and CV.",-1.0,-1,https://indeed.nl/rc/clk?jk=94c9ded72cbbc004&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=0b4f58e8e9933994&assa=4886,https://nl.indeed.com/vacature-bekijken?jk=94c9ded72cbbc004&fccid=a7f7ef4951d63c7c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
5,food serving,Indeed,p_f0002ef24d44575f,F&B Allround Associate (Fulltime),Renaissance Amsterdam Schiphol Airport, Aalsmeer,"LET YOUR PASSION FOR DISCOVERY BECOME A CAREER

Share what inspires you, and help others discover the world as you go.
Explore, uncover, share, inspire at Renaissance!

The Renaissance Amsterdam Schiphol Airport Hotel is a stylish and innovative new hotel, opened September 24, 2018. And we are looking for YOU!

F&B Allround Associate Fulltime

The F&B Associate in the Renaissance Schiphol Hotel is al all-round position with a wide range of working environments. One day you can be opening the restaurant to set-up the breakfast buffet for our guests, the next day you might be assisting in one of our meeting rooms and the week after you are serving in our Bar ‘Bloom’, or in our Restaurant ‘Signature’. Our F&B Associate will welcome our guests with a friendly, authentic approach, creating a unique and personalized guest experience.


Your day will consist of
Working together with the team to deliver exceptional experiences to our guests
Serving beverages & food to our guests, making recommendations when desired (upselling)
Record transactions in the system Micros
Keeping your work area clean and organized
Taking care of the equipment used
Advising guests about the local discoveries
Sharing your knowledge about unique discoveries with our guests and colleagues
You…
Live life to Discover
Are a team player
Have a passion for Food & Beverage
Can communicate in English (Dutch is a plus, not a must)
Bring your personal style to every experience
Are available to work both weekdays and weekends in different shifts
Are ready to take a BIG challenge to further develop yourself

We…
Offer you a great place to work in a completely new and diverse team!
Offer a second family with a work hard, play hard kind of mentality
Offer a work environment where learning & development are a priority (On & Off the job trainings will be provided regularly)
Have a special Associate Discount Rate in all Marriott Hotels worldwide
Competitive salary according to the Horeca CAO

JOIN OUR TEAM!
Don't miss this exciting opportunity to join the Renaissance Amsterdam Schiphol Airport team.

This Renaissance Hotel is franchisee-owned and operated.

Due to the high volume of applications we receive it is not always possible to reply personally back to you. Therefore if you do not hear anything back from us within 10 working days your application has not been selected into the process. Thank you for understanding.",-1.0,-1,https://indeed.nl/rc/clk?jk=f0002ef24d44575f&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=bd4fd06d04116b6b&assa=693,https://nl.indeed.com/vacature-bekijken?jk=f0002ef24d44575f&fccid=137b3915bcc4ecfb&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
6,food serving,Indeed,pj_156157a47ee74ec7,International Payroll Advisor,HMSHost, Schiphol,"HMSHost International is part of one of the biggest hospitality companies in the world, serving over 900 million people every year. HMSHost operates international brands such as Starbucks, LEON, Burger King and local/regional concepts in airports and travel venues around the globe. HMSHost International has food & beverage outlets in airports across the Middle East, Asia, the Pacific, and Europe. But it doesn’t end there! We are also expanding to other high-traffic venues, such as train stations and shopping malls. For our company we’re looking for an International Payroll Advisor (based at Amsterdam Airport Schiphol).HMSHost International has outsourced the payroll services and the direct payroll processing is being conducted by reputable and large 3rd party solutions provider. The International Payroll Advisor will be responsible for change management, ensuring the SLA quality metrics are met, troubleshooting, and generally managing the smooth and efficient functioning of an outsourced payroll. Given this, the International Payroll Advisor is not directly taking care of hands-on payroll data-entry and processing. The role has more emphasis on managing the payroll provider and assisting countries on all inquiries and issues, looking for updated payroll solutions and technology. This position requires a high attention to detail, hands-on capabilities, the ability to prioritize in a fast-paced environment and a passion for getting results and process improvements.The role: Drive consistency in payroll practices, controls, and management reporting;Owner of the payroll control framework, which needs to be embedded into the country HR knowledge;Responsible for the international payroll function, managing vendor relations, escalating and resolving international payroll issues and ensure international governance model is followed;Support and ensure alignment for local, regional and international HR and Finance initiatives which impact payroll;Monitor country performance of payroll vendor and manage actions to improve performance;Fulfil internal and external audit reporting requests;Audit HCM systems, assist with future implementations;Responsible for payroll user management and ensure segregation of duties;Partner with local HR and Finance in reviewing changes to the payroll practices, assessing centralized and decentralized options;Critically review and analyse current global payroll framework to ensure benefits and tax procedures in order to recommend and implement changes leading to best-practice operations;Provide analysis of payroll and related costs to identify trends and to ensure accurate reporting;Partner with IT to ensure smooth flow of recurring data files externally to benefit carriers and internally between systems;Analyse payroll output data in collaboration with business intelligence and provide payroll data analytics to internal partners and management;Participate in monthly service review with outsources partner;Point of contact for audit process, in conjunction with corporate audit or compliance matters, to ensure compliance and data integrity around data and processes;Participate in user group meetings/conference to stay up to date on current trends in industry and within Global Payroll and HR Operations;Monitor timely payroll processing and control if standards are used and recommending process improvements;Ensures payroll issues are escalated and resolved with root cause analysis and corrective action for all levels of employees and management;Ensure payroll governance and required controls are in place, monitored and regular updated;Recommends system enhancements and advise in the development, testing and implementation of solutions.Skills and knowledge to become successful in this role Bachelor's degree or equivalent work experience;Minimum of 3 years working in SuccessFactors;Experience with ADP vendor management;At least 5 years of HR payroll systems experience;Solid knowledge of HR operations, systems structure, functions and business processes;Strong experience Microsoft Excel;Highly detail oriented and organization skills;Ability to manage highly sensitive and confidential information;Demonstrated experience in project management;Demonstrated ability to multi-task and manage to deadlines;Strong vendor management and negotiation skills;Knowledge of payroll compliance frameworks;Experience with processing international payrolls.Join HMSHost This is a fantastic opportunity for an HR Payroll Specialist to take on a new challenge and immerse yourself in an exciting role where your skills & experience are recognized. If you are looking for a dynamic role within a worldwide organization where we put people at the heart of what we do, then we look forward to hearing from you.Soort dienstverband: Fulltime, Bepaalde tijd, Onbepaalde tijdAanvullende betalingen:VakantiegeldArbeidsvoorwaarden:FietsplanLunchkortingPersoneelskortingReiskostenvergoedingWerk vanuit huisWerkschema:ma-vrErvaring:SAP SuccessFactors: 3 jaar (Aanbevolen)HR Payroll systemen: 5 jaar (Aanbevolen)Vendor Management: 2 jaar (Aanbevolen)Opleiding:HBO (Vereist)Voorzorgsmaatregelen tegen het coronavirus:Op afstand solliciterenEr gelden richtlijnen voor social distancingVirtuele vergaderingenEr zijn ontsmettings-, desinfecteer- of schoonmaakprocedures van kracht",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BmxWHmOI3HTHZfBWzPU3GoCUyECqZaCuW65ve1uAp2DmVnfkgSVQXYtVUYvf-1KNMlQZTwM73m79NlzGLjorcokWyTm7FqLsm6QR-9UgWYZlTW4QkIEsOgBM1qTaPD3szDBSjir13ay_-3_ArDiLIhSHhq_5Qqm2En05RxAyQz0lycOZEQDpzFFWgBNeIIraj5-oS9CGVMhyi1lTtFzmtiH14V9cFg0JdDxhxR9Je_HS7EP0V4HO07GtNHd_h1EZ0Jzrh4BKlPl38WwegwpakZOSnWH7PzQLVkh7G9aVkH33Zs4YL_uqVGv0U2arFc7gE6PxxNj5iAwwoRMFutw-hGvEvzwtF6Gv-_YJzdZ0JlrXyZWJhzTDmsHco5FdiANpfdIP1d8ahr80gTKF_IheotdDrKxY8bv5Ay2gBvryfLa0KRGpzZ8ZAgQKqXGygkVlnEmEP9HADKIVEEboxUkfVEbPXorJUM60c=&p=6&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
7,food serving,Indeed,p_956863f7045ff83b,Tableau Application Administrator,Takeawaycom, Amsterdam,"We're looking for a talented Tableau expert who can handle everything from scalability to access control and developing a self-servicing environment. Think you're the right fit?
Our story (the bitesize version)

Delivering to millions of food-lovers every day, Just Eat Takeaway is one of the world's biggest food delivery companies, with customers in 23 countries, from Belgium to Brazil!
With non-stop orders across our markets, we deal with a massive amount of data. Tracking and developing insights from that information is the focus of our Data & Analytics team.
All about the role

With constant growth across our company, we're seeing a major increase in both business users and reports in our Tableau Server. As our Tableau Application Administrator, your aim is to make our visualisation more effective and scalable.
Access control is vital. That means using Tableau Server to automate administrative tasks, as well as identity and access management (IAM) to produce high-quality reports. You also support users across the company by serving their requests, including business purpose verification.
This is a varied role, and we're relying on you to:
Handle Tableau server licensing and communicate with Tableau representatives to optimise costs
Audit Tableau reports and unify the look & feel of reports together with analysts following design guidelines to improve user experience
Communicate with tool vendors to find new solutions
Monitor server performance in order to maximise it
Provide a self-service environment that enables business users to do their own analysis
Provide access control to Data Sources and offer Tableau training
Build a control map for Tableau, including customisation if necessary
Can you deliver…

Ready to take on the role? Here are the ingredients we need from you:
3+ years' experience in Application Administration or a similar role, including maintaining Tableau or another visualisation system
Experience in implementing optimsed and hierarchical access control, including integrating access management tools (e.g. Okta)
Experience working in an E-commerce company is a big advantage
Knowledge of Linux systems administration is an advantage
Knowledge of Python is a plus
Fluent English (written & spoken)
Here is our offer

Like the perfect food pairing, your skills and these great rewards belong together:
Competitive salary
A varied and impactful role at the heart of our Data Analytics setup
A dynamic, friendly workplace in Amsterdam
Fantastic company and team events
A pension plan in which we pay 60%
26 days of holiday per year
Office amenities: Delicious tea & coffee, PS4, our popular Friday drinks…and more
Contribution to travel costs and a budget for ordering lunches
It's time to become our Tableau expert. Click Apply Now to send us your CV!",-1.0,-1,https://indeed.nl/rc/clk?jk=956863f7045ff83b&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=ea9c59a0320c4f7c&assa=2202,https://nl.indeed.com/vacature-bekijken?jk=956863f7045ff83b&fccid=a7f7ef4951d63c7c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
8,food serving,Indeed,p_3705318e51dc9e54,Sales Incentive Specialist,Takeawaycom, Amsterdam,"We're looking for a talented Specialist to lead the incentive program for our Portal Sales Organisation. Are you a data-driven professional who enjoys optimising processes? Then read on!
Our story (the bitesize version)

Growth is always on the menu at Just Eat Takeaway.com. We've transformed from an attic business to a global food delivery powerhouse, serving millions of customers in 24 countries – from the Netherlands to New Zealand.
But the secret to our success isn't food, it's people. Our specialist teams handle everything from app development to digital designs and incentive programs. That's where you come in.
All about the role

As our Sales Incentive Specialist, collaboration is at the core of everything you do. Together with our Compensation & Benefits team, local HR Business Partners and Payroll, you'll create a seamless process for our Sales Incentive Program.
Each month, you align with the management for 10+ countries to ensure that all calculations, reporting and payout is in place, and aligns with our overall strategy.
In this role, we're also counting on you to:
Manage and contribute to multiple sales projects in line with objectives and key results (OKRs)
Design, implement and execute scalable targets and our incentive model globally
Ensure successful co-ordination between different global stakeholders
Take ownership of all stages of the incentive plan – from conception to execution

Can you deliver...

Here are the ingredients we need from you:
3+ years' experience as a Sales Incentive/Compensation Specialist or another similar role
Bachelor's Degree or higher
Strong analytical skills and proven experience in making data-driven decisions
Previous experience with Sales is a plus, but not essential
A well-organised, detail-oriented and flexible attitude – perfect for working in a fast-paced environment!
Able to collaborate and communicate with a range of stakeholder
Fluent English (written & spoken)
Here is our offer

Like the perfect food pairing, your skills and these great rewards belong together:
Competitive salary
A varied and highly impactful role at the heart of our Sales Operations in a diverse and international team
The opportunity to work in our stunning Amsterdam HQ (we're right by Central Station)
A pension plan in which we pay 60%
26 days of holiday per year
Office perks: Delicious tea & coffee, fresh fruit, our popular Friday drinks…and more
Contribution to your travel costs and budget for ordering lunches
Ready to take on this exciting Incentive Specialist role? Click Apply Now and send us your CV.",-1.0,-1,https://indeed.nl/rc/clk?jk=3705318e51dc9e54&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=a21e9ac10f879ed5&assa=8062,https://nl.indeed.com/vacature-bekijken?jk=3705318e51dc9e54&fccid=a7f7ef4951d63c7c&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
9,food serving,Indeed,p_521c00b378baffa8,Account/Project Manager,SIM Supply chain Information Management BV, Alkmaar,"About SIMSupply Chain Information Management (SIM) is a dynamic growing organization with the aim to provide validated data that contributes to better, safer, and more sustainable products coming from transparent supply chains. We are a service oriented, knowledge provider with a secure and collaborative software tool. Together with a committed team of Supply Chain Analysts, Project Managers and IT specialists, SIM ensures its clients know where their products come from, under which conditions they are created and what the ingredients or components of their products are.SIM delivers validated data that enable its clients to manage their supply chain risks in real-time and improve issues related to product safety, quality, social compliance and environmental risks. SIM delivers services and IT tools, but has external developers that create the software applications.SIM’s clients are large companies like Ahold, Bofrost*, Jumbo, Detailresult Groep, Superunie and Maxeda. We support clients who want to make a difference in their supply chain with their buying power in a cost effective way.In order to support our customers and their suppliers, we are looking for a new member of our team:Account and Project Manager (40 hours)The post holder is one of two account managers within SIM responsible for the management of a group of approximately six to ten of SIM’s clients. Reporting to the Operational Manager/CEO and serving as a member of the Operational Team (OT), this position's primary responsibility is to oversee the planning and implementation of all tasks and projects, including budgetary responsibilities for the respective accounts.Next to the account management of clients, this position is also responsible for the successful development and implementation of operational systems, processes and policies in support of SIM’s mission. This means close collaboration with the team of Supply Chain Analysts who collect, analyze and validate data regarding sustainability risks of a group of clients. The role will also be supporting with business development.The main aim is to deliver accurate and timely sustainability information about the client’s supply chains and the associated risks. The role will focus on the collection, validation and analysis of the data and identify the client’s needs and devise strategies and projects to meet those needs. The manager should always put the client wishes first and should be focused on financial returns. A large part of the projects have an IT element and close collaboration with the IT team is necessary as well as affinity with IT solutions and applications.The post holder will be co-defining the strategy and implementation plans for all SIM’s data verification and assurance services. (S)he will help SIM’s clients make critical decisions related to sustainability strategy and supply chain transparency by bringing data-driven analysis, practical insight into supply chain issues and hot spots, and proven methodologies to visualize supply chains and sustainability goals of our clients.Job Specific ResponsibilitiesOversees the implementation and guards the budgets of the full range of projects for a group of clients;End responsible for financial targets and content related goals for clients and projects;Identifies, analyses and develops the data gathering processes for clients and proactively develops new projects and processes within the area of responsibilities;Designs programs and data processes to help client’s mitigate social, environmental and food safety risks in their supply chain;Helps co-define the strategy and operational implementation of SIM’s current and future data assurance services;Recommends effective corporate social responsibility (CSR) initiatives and social compliance and food safety standards for clients and the necessary processes and software solutions to ensure data quality and availability;Writes detailed project proposals, documents and briefings for IT tickets in preparation of projects;Manages different smaller and larger projects for the clients (s)he is managing the accounts;Support with acquisition and support the process from potential client and proposal processes till contractual clients;Represents SIM at external speaking engagements.Your Profile: Training and education (University Degree) in Business Administration, Accounting and/or Sustainability;You are used to working with and following financial targets;You are very familiar with existing food safety and sustainability standards and risk management in global supply chains as well as SIM system, SIM services and SIM mission and vision;You have advanced experience with project management and strong proven commercial skills;You are service oriented, a problem solver and a team player with a “can do attitude”;You have strong written and verbal communication skills and know how to incentivize and bring teams together;Excellent Dutch, English language skills. Spanish and German are desirable;You enjoy working with data and transforming it into relevant information;You like to make a positive impact with the work you do.What We Offer: A position that enables self initiative and ownershipA great place to work with motivated, professional and enthusiast colleaguesAttention for professional growth through continuous coaching and trainingPossibilities to grow within a company that is growingLaptopPhoneA market conform salaryPension Plan25 vacation daysSIM is a company that values diversity, equity and inclusion.Secundaire arbeidsvoorwaarden:Werk vanuit huis mogelijkhedenFlexibele werkurenVakantiegeldPensioenContractduur 12 maandenJob Types: Full-time, ContractSupplemental Pay:Vacation moneyExperience:Account Management: 5 years (Preferred)Language:Dutch (Required)Work Remotely:Temporarily due to COVID-19",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/SIM-(Supply-chain-Information-Management)-B.V./jobs/Account-Project-Manager-521c00b378baffa8?fccid=136afe02444f6175&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-01-22,en,Female
