,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,health,Indeed,p_6ebee209a4826c7e,Medewerker klantenservice,Health Tests  Supplies BV, Amsterdam,"Ben jij parttime of fulltime beschikbaar? En een probleemoplosser? Heb jij een luisterend oor? Je houdt van puzzelen? En je bent een mee-denker?Kom dan ons jonge en dynamische team versterken!Ons aanbod is:Flexibele werktijden want we zijn staan 24 uur per dag klaar voor onze klantenBepaal voor je zelf hoeveel je wilt werken.Leuke collega’s.De mogelijkheid om mee te groeien in een jong en nieuw bedrijf.Een leuk salaris die past bij jou inzetbaarheid.De functie eisen zijn:Veerkracht heb je nodig bij de klantenservice van corona teststraat. Met zorg en zekerheid kun je uitleggen hoe onze producten onze klanten kunnen helpen. Het ultieme is als er iemand op gezond op reis kan door onze hulp. Natuurlijk ben jij ook de speel in het bewaken van de klant zijn persoonsgegevens.Degene die wij zoeken is?Die vriendelijke, open klantenservice medewerker die zin heeft om klanten blij te maken.Die betrouwbare, discrete medewerker met een groot verantwoordelijkheidsgevoel?Is iemand die service hoog in het vaandel heeft staan.heeft een helikopterview over het gehele proces.Stressbestendig en weet snel te schakelen.Klinkt goed?Solliciteer dan direct! Stuur ons je cv en voeg een kleine motivatie toe waarom we jou moeten bellen?Contractduur 3 maandenSoort dienstverband: Bepaalde tijd, Freelance/ZZPSalaris: €11,00 - €15,00 per uurErvaring:Klantenservice: 1 jaar (Aanbevolen)Locatie:Amsterdam (Vereist)Taken:Beantwoorden van klantvragenVastleggen van klantinformatie in de klantenservice databaseGa op een professionele en vriendelijke manier met klanten om en luister actief naar hun problemenBied klanten hulp en oplossingen aan in overeenstemming met het klantenservice beleid van het bedrijf.Thuiswerken:NeeVoorzorgsmaatregelen tegen het coronavirus:Op afstand solliciterenPersoonlijke beschermingsmiddelen worden uitgedeeld/zijn verplichtPlexiglas schermen op werkplekkenEr gelden richtlijnen voor social distancingEr zijn ontsmettings-, desinfecteer- of schoonmaakprocedures van kracht",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Health-Tests-&-Supplies-B.V./jobs/Medewerker-Klantenservice-6ebee209a4826c7e?fccid=7022e2f9be703679&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
1,health,Indeed,pj_4a45e5c84a65c7a6,Copy writer online marketeer Poland,Ledstores Europe, Amsterdam,"Do you regularly shop online and would you like to work behind the scenes at a web store? Does online marketing energize you, just like SEO and social media? Would you like to help our number of customers grow by the efforts you make? We are looking for you!For our ambition to grow with 10 web stores specialized in LED lighting, we are looking for an enthusiastic content and online marketeer for new markets we would like to enter Poland and the markets we are already selling to (Denmark, France, Germany, Spain, and more).Who is Ledstores?Ledstores Europe manages and operates several (international) webshops, all specialized in LED lighting. We strive with a team of enthusiastic employees to make European companies and consumers choose for LED lighting. In this way we work every day on a greener life in a more sustainable world.From our headquarters in Amsterdam we organize customer service, marketing, administration and order processing for all European countries in which we deliver. Moreover, we continue to grow, for example with the ambition for a total of 12 webshops.With the growth success that Ledstores has achieved, it has achieved a number of nominations and awards such as: the FD Gazellen 2020, we are in the CrossBorder top 30, in the Twinkle 100 and in the Sprout challenger50 of 2020 the list with the most challenging and fast growing companies in the Netherlands. Will you help to make Ledstores even bigger? Then we are looking for you!What are you actually going to do?Improving the online presence of our webshop;Working on our online marketing strategy;Analyzing results in Google Ads and Google Analytics;Working on e-mail marketing, social advertising and SEO.What can you count on?As part of the Ledstores Family:You work in a super enthusiastic and young team;Are you proud to work on a fast growing scale-up;Do you have a varied job;You will find yourself in a warm bath of nice colleagues;Are there opportunities (and budget) for personal and professional growth;Is there a staff discount on the entire assortment;Do you have a chance to win a performance bonus;Is there a collective discount on health insurance;Do you receive more than a competitive salaryReceive your travel allowance;A daily lunch of the company and ‘Pizza Friday!Is there a chair massage every month;Are there fun team activities;Is there a lounge with Playstation, table soccer / tennis and darts;Is there every Friday, just like when we feel like it, a cozy drink : -);If you have any time left, we also have a nice collaboration with ClassPass;As last but not least, a bike from the store!What makes you the best?Did you study or are you still studying online marketing or similar studies? We are looking for commercial talents with a fine touch voor online marketing. Furthermore, you are easy communicating and flexible to adapt to ever changing (online) environments.Fluent in Polish and fluent in English;Socially strong: both within the team and to customers;Living close to Amsterdam or willing to relocate;Experience with Photoshop is a plus;Lives in or around Amsterdam in a radius of 25km.Is this something for you?Have you become enthusiastic and meet the required qualifications? Please let us know who you are and send your resume and motivation to: hr at ledstores.nl. Above all, share everything you think we need to know and show yourself. Projects you are proud of, your favorite hobby, successes… come on! And do you have any questions? Call us on +31 (0)6 11 49 17 69.Parttime uren: 24 per weekSoort dienstverband: Fulltime, Parttime, Bepaalde tijd, Onbepaalde tijdSalaris: €2.100,00 - €2.800,00 per maandAanvullende betalingen:VakantiegeldWerkschema:AvondwerkWeekendErvaring:Vergelijkbare: 1 jaar (Vereist)Opleiding:HBO (Aanbevolen)Locatie:Amsterdam (Aanbevolen)",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DSqPjKNW1WWiIVxh8tkdypL1cvACFbErecaoZm96h27rPnSztSrqpfSrWJNdJydzsRgpQAIJZvyPWw6Vidjk-VA5UaUAV9DKmq-V4TGMRzCxRkjo5QqxRNOWCoURIb-VUv9qTo62p4OBE-oVmPzy9HRDE6d5zoVdg-JIvxGbhJacQXxgYRPJ5Qu6FwjScUTlqWy4BgqJI8ZzZOQsIAp5CEEQbU7eIOifbwO8yla7fGd9t53IOn2M2lXo-GDfmqRCR6Ox0zAagtF1Nc0syBagQ2VksTn8Nd6wG3duxhyxwNA2i3rxAR7-mddXdU_W8fvUqNgvd6XNq_mcKH0ogrMBPvRv32y555-2spUxdRRIYwF-Ao5qtNn8AHBMkzYmq2Xjp4PTeK3UBVH0G0-QF1BBnC_-4dhnCrmqExe9F9xWcvmj5OBai9ZpZUVU2TaptqSOSnwonTmLFzIfjFWkika_YL&p=1&fvj=1&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
2,health,Indeed,p_ba0df818ba244922,Test afnemer Hoorn,Health Tests  Supplies BV, Hoorn,"FunctieomschrijvingVerantwoordelijkhedenBen jij maatschappelijk betrokken en wil jij iets betekenen voor jouw medemens? Wil jij je steentje bijdragen tijdens de Corona crisis in de vorm van het afnemen van een test?Stop dan met zoeken, want wij zoeken jou!Wat ga je precies doen?Voor een NIEUW te openen Coronatest locatie in Hoorn en omgeving zoeken we jou! De locatie open per direct. Als testafnemer ben jij het gezicht van onze opdrachtgever.Jij bent samen met een assistent verantwoordelijk voor de afname van deze neus- en keeltesten en zorgt ervoor dat deze testen in goede orde aangeleverd worden aan het laboratorium.Daarnaast voer je de administratie uit m.b.t. de afgenomen testen. Ben je vanaf nu beschikbaar en heb je affiniteit met de zorg.Waar wacht je nog op? Kom bij ons aan boord en je kunt straks gaan helpen om Corona de wereld uit te helpen.Benodigde vaardighedenJe kunt mensen goed op hun gemak stellenGeen medische achtergrond? Overtuig ons dat je het toch kunt!Je hebt een vriendelijk voorkomenJe digitale skills zijn top!Werken bij Spoedtest.nlWe zijn een jong team die allemaal hard willen werken voor onze mensen.Wat bieden wij?Flexibiliteit met werk ureneen goede betalingveel zelfstandigheidSolliciteren : YES!! Ja, dit wil ik! Solliciteer dan nu razend snel via de site en wie weet wordt je direct gebeld door een nieuwe collega.Contractduur 3 maandenParttime uren: 40 per weekSoort dienstverband: Fulltime, Parttime, Bepaalde tijd, Freelance/ZZPSalaris: €11,00 - €15,00 per uurWerkschema:DagdienstWeekendThuiswerken:NeeVoorzorgsmaatregelen tegen het coronavirus:Op afstand solliciterenPersoonlijke beschermingsmiddelen worden uitgedeeld/zijn verplichtPlexiglas schermen op werkplekkenEr gelden richtlijnen voor social distancingEr zijn ontsmettings-, desinfecteer- of schoonmaakprocedures van kracht",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Health-Tests-&-Supplies-B.V./jobs/Test-Afnemer-ba0df818ba244922?fccid=7022e2f9be703679&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
3,health,Indeed,p_44a8d397ff3395f8,BARISTA NL Amsterdam,Starbucks, Amsterdam,"By bringing people together over coffee, Starbucks has become one of the world’s best-known and best loved companies. Working at Starbucks is a lot like working with your friends! When you work here, you’re not an “employee” – we call ourselves “partners” because we believe in shared common goals and mutual success. Our partners are our most valuable resource.
Did you always want to work as a Barista in Starbucks and are you interested to learn all about the different beverages that we make? Do you have an outgoing, positive “can do” attitude and you love face to face interactions? Than you are the perfect candidate!

Your job
A Starbucks Barista delivers legendary customer service to all customers by acting with the ‘customer comes first’ attitude and connecting with the customer. Discovers and responds to customer needs, provides quality beverages, whole bean, and food products consistently for all customers according to Starbucks’ recipe and presentation standards. Acts with integrity, honesty and knowledge that promotes the culture, values and mission of Starbucks.

Your responsibilities:
Communicating information to the store manager so that the team can respond as necessary to create the Third Place environment during each shift;
Maintaining a calm demeanour during periods of high volume or unusual events to keep the store operating standard and to set a positive example for the shift team;
Maintaining a clean and organized workspace so that partners can locate resources and product as needed;
Contributing to a positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.
Recognizing and reinforcing individual and team accomplishments by using existing organizational methods;
Following Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift;
Assisting with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed;
Maintaining regular and consistent attendance and punctuality;
Following health, safety and sanitation guidelines for all products.
Your profile
Qualified candidates for a Barista position don’t need any previous experience. It is an asset if you do possess related experience.
Must haves:
You can speak conversational English and basic Dutch;
You are flexible (no “9-5”, weekends off mentality)
Strong work ethic and results driven;
Ability to learn quickly;
Strong interpersonal skills;
Ability to work as part of a team and to build relationships;
Ability to understand and carry out oral and written instructions and request clarification when needed;
A Dutch work permit.
Core Competencies
Puts the customer first and has a relentless focus on the customer.
Understands what the customer wants and how to best deliver the experience.
Works well with others, listens and communicates well with people within and outside of Starbucks.
Creates a team environment that is positive and productive and leads courageously.
Takes personal responsibility to do the right thing, and persists in times of challenge or uncertainty.
Adapts quickly to change and makes timely, thoughtful decisions
Develops continuously and achieves results.
Continuously seek opportunities to improve self and others. Leads with trust, honesty and commitment to hire, coach and develop partners to achieve their potential.
Understands what drives overall business success and is accountable to prioritize and deliver quality results.
Demonstrates knowledge of core products and processes to get results. Anticipates obstacles and takes action to prevent or minimize their impact.
What we offer you
€ 9,96- per hour (excluding 8% holiday pay)
Health insurance discount
Pension
A free bag of coffee per week
Discounts on all of our products
Free beverages while working
Additional 8% holiday pay
Commuter allowance (if you live more than 7.5KM from your store)
25 paid holiday days per calendar year (Full time)
150% pay when you work on a public holiday
You have the possibility to work part time.",-1.0,-1,https://indeed.nl/rc/clk?jk=44a8d397ff3395f8&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=f88075d6c4718367&assa=17,https://nl.indeed.com/vacature-bekijken?jk=44a8d397ff3395f8&fccid=a88e611ddef97571&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
4,health,Indeed,p_e3e5d0ec3c7563ec,Oliver Wyman - Entry Level Consultant - Amsterdam,Marsh and McLennan, Amsterdam Zuid,"About Us Oliver Wyman is a global leader in management consulting. With offices in 60 cities across 29 countries, Oliver Wyman combines deep industry knowledge with specialized expertise in strategy, operations, risk management, and organization transformation. The firm has more than 5,000 professionals around the world who work with clients to optimize their business, improve their operations and risk profile, and accelerate their organizational performance to seize the most attractive opportunities. Our work is marked by exceptional impact for our clients and we have earned a reputation for quality work and that is why we represent half of the top 500 global companies.
Why Join Us?
By consistently producing results, we have earned a reputation for quality work and attractive career opportunities. We are committed to developing the best talent, where your good ideas and hard work are rewarded. There are also extensive opportunities to allow career flexibility including: corporate externships, 10/11-month work years or sabbaticals, non-profit fellowships, and international staffing opportunities
A growing, entrepreneurial firm with exceptional economics
More client exposure on Day One and significant international opportunities
Developing the best talent, where your good ideas and hard work are rewarded
Attractive compensation for performance
A company that is committed to work-life balance and having fun
Extensive opportunities to allow career flexibility including: corporate externships, 10/11-month work years or sabbaticals, non-profit fellowships, and international staffing opportunities

The type of work we do
Our challenging Consultant position offers exceptional career growth and opportunity to motivated and hardworking graduates. As a Consultant you will:
Work in teams to solve high level business problems facing half of the top Global 500 clients
Structure and carry out essential research and analysis
Lead complex quantitative, strategic and financial analyses of corporations and businesses
Receive support to develop leadership and client management skills
Receive broad exposure to a variety of industries including: Automotive, Aviation, Communications, Financial Services, Energy, Health & Life Sciences, Media, Retail, Surface Transportation and Technology.

Who can apply

We look for initiative, intuition and creativity with a strong background in problem solving and analytics. We do not require a specific academic major or industry experience. One of the best things we can do for our clients and ourselves is to recruit a diverse group of people who bring a broad range of strengths and backgrounds to their roles.

How to apply
To be considered please submit CV and cover letter and transcript

Oliver Wyman is an equal opportunity employer and a wholly owned subsidiary of Marsh & McLennan Companies.",-1.0,-1,https://indeed.nl/rc/clk?jk=e3e5d0ec3c7563ec&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=50212e188ca7200d&assa=1301,https://nl.indeed.com/vacature-bekijken?jk=e3e5d0ec3c7563ec&fccid=d46039b952140fd4&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
5,health,Indeed,p_01455381072e3674,Data Entry Medewerker Fulltime 24/7,Mitek Systems, Amsterdam,"Location
Amsterdam
Position Type
Full Time
Team
Customer success & support
We’re Mitek, a NASDAQ-listed global leader in mobile capture and digital identity verification solutions built on the latest advancements in AI and machine learning. Our Mobile Verify and Mobile Deposit products power and protect millions of identity evaluations and mobile deposits every day, around the world.
Mitek is committed to the health and safety of our employees and candidates. During this current pandemic, our global team of Mitekians are successfully and productively working full-time from home. Your experience with us - from introduction, to interview, to onboarding - will be a virtual one.
Ons Document Review team is van belang bij de voorbereiding van dé identiteitscontrole. Een verantwoordelijke rol; mede door jouw hulp kunnen wij onze klanten van dienst zijn. Ben jij iemand die graag zelfstandig werkt, maar het ook prettig vindt om in een team te werken? Stel je hoge eisen aan nauwkeurigheid? En ben jij bestand tegen het werken in ochtend- middag en nachtdiensten. Dan zijn wij naar jou op zoek!
Wat ga je doen
Het nakijken van ID-documenten op administratieve en wettelijke juistheid;
1ste lijns identiteitscontrole op echtheidskenmerken;
Het digitaal sorteren van dossiers;
Het invoeren, vergelijken en aanpassen van gegevens in de controlevelden.
Wat heb je nodig
Je hebt minimaal VMBO werk- en denkniveau
Goede beheersing van de Nederlandse en/of Engelse taal
Bereidheid tot het werken in nacht- en weekenddiensten
Welke kwaliteiten zijn een pré
Kennis van ID-documenten
Ervaring met data-entry werkzaamheden
Wie ben jij
Je beschikt over uitstekende sociale en communicatieve vaardigheden
Je kan goed zelfstandig en nauwkeurig werken met oog voor detail
Je hebt verantwoordelijkheidsgevoel
Rooster
06:00 uur - 14:00 uur
14:00 uur – 22:00 uur
22:00 uur – 06:00 uur/
I'm interested",-1.0,-1,https://indeed.nl/rc/clk?jk=01455381072e3674&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=308579bd23ce01f5&assa=2202,https://nl.indeed.com/vacature-bekijken?jk=01455381072e3674&fccid=92a2dfbcf7d0bdde&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
6,health,Indeed,p_d8cdf388437bc7cb,"Groups, Meetings & Events Specialist","Marriott International, Inc", Amsterdam,"Posting Date Feb 04, 2021
Job Number 21009293
Job Category Sales & Marketing
Location Renaissance Amsterdam Hotel, Kattengat 1, Amsterdam, Noord-Holland, Netherlands VIEW ON MAP
Brand Renaissance Hotels
Schedule Full-Time
Relocation? N
Position Type Non-Management

You were always one of those curious kids who opened every cabinet, peeked behind every door, and never ceased to ask ""why"" when given an explanation. Today, you bring your personal style to every experience. You live life to discover. You are passionate about your neighborhood, always looking to explore the places one wouldn’t find in a travel guide. If this sounds like you, you’re in the right place. You’ve got authentic style, natural curiosity and a warm way with people. Renaissance is not just a place to spend the night, it's a place to discover, a place in the world with style like yours. That’s why we’re not just looking for anyone. We’re looking for someone like you.


Discover this way!
Do you have a passion for hospitality and events? Would you like to work in a dynamic and innovative environment? Are you creative and always looking for new opportunities? The Renaissance Amsterdam Hotel is looking for a Groups, Meetings & Events Specialist!
What are my responsibilities?
As a Groups, Meetings and Events Specialist you will be responsible for handling and managing enquiries for the Renaissance Amsterdam Hotel, for Corporate Groups (10 bedrooms or more), local catering (Meetings or Events without or up to 10 bedrooms) and Corporate Meetings (Meetings or Events with 10 or more bedrooms) from the enquiry stage to the execution.
You serve as contact person for clients, vendors, and meeting or event planners and communicate with them by phone and e-mail to respond to questions and requests, and optimize revenue & utilization of meeting and event space as well as Event Satisfaction. You are responsible for all details for a perfect execution of the event. You prepare all documentation and coordinate with all departments and customers to ensure consistent, high level service throughout pre-event, event and post event phases of the events. You deal with reservation requests, no shows, changes, additional services and cancellations.
You will ensure all hotel events have a seamless turnover to our operational departments and act as a key-contact person for both the clients, as internally towards all hotel disciplines. On the day of the event you hand all information over to our Event Operations department. You are responsible for the highest level of service by leading and executing the requirements of events, based on Renaissance Event Management Standards.
What are we looking for?
We are looking for an ambassador who is creative and brings personal style to every event experience. You are an ambitious and experienced in handling events and are looking for a new opportunity to develop further your skills. You live life to discover and you have a natural curiosity and a warm way with people. Is this exactly who you are and what you want to do? We’re looking for someone like you!
To be eligible for this position you…
Live Life to Discover.
Have a degree in Hospitality Management or similar.
Have experience in Events and a passion for Hospitality and Lifestyle.
Have strong communication skills (verbal, listening, writing) and strong organization skills.
Speak English and preferably Dutch.
What do you get in return?
Renaissance Amsterdam hotel is part of Marriott International and offers a competitive salary and a wide package of benefits. Each year you will have a performance appraisal. Dependent on your performance you are able to get a salary increase or a one-time bonus. In addition we offer you…
A professional and stimulating work environment.
An international and dynamic team.
Personal coaching to support you in your day-to-day job and lots of development and training opportunities.
Special Associate Rate discount available for Marriott products worldwide.
A TakeCare program, which means you can participate in boot camp, apply for a gym against a discounted rate, sport in our own health club, follow dancing classes against a discounted rate and much more.
Career possibilities within Marriott International.
As part of our culture we celebrate recognition and organize many social activities, such as our Associates Appreciation Week, yearly Staff party and Team outing.
Marriott is an equal opportunity employer committed to employing a diverse workforce and sustaining an inclusive culture.",-1.0,-1,https://indeed.nl/rc/clk?jk=d8cdf388437bc7cb&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=04f1cb152ab1b88a&assa=3001,https://nl.indeed.com/vacature-bekijken?jk=d8cdf388437bc7cb&fccid=d47acb5b5596d9e4&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
7,health,Indeed,p_2416ca2d3afd8607,Junior Consultant Health,THE DECISION GROUP, Amsterdam,"DATE September, 2020
SUBJECT Vacancy Junior Consultant Health
The Decision Group
Are you interested in the field of health and life sciences and looking for a challenging job
within a fast-learning organization? The position of business analyst at The Decision Group
might be the perfect job for you!
Join the pioneering strategy consulting firm The Decision Group: a company with a strong
focus on health care & life sciences. Deliver and help clients to focus on creating value by
using the most cutting-edge knowledge in the field of health and life sciences in our day-to-

day practice of consulting, doing research, and making executive education programs.
Business Analyst Health
We are looking for a full-time colleague who (minimally) has a master’s degree on a university
level and affinity with health and life sciences. You will team up with a consultant managing
multiple projects, from account management and client relations to educational projects which
involves taking a deep-dive into various healthcare. Together you will work on all aspects of a
project, ranging from client contact to marketing to small administrative tasks.
We are looking for someone with
1. Fluency in both Dutch and English;
2. A master’s degree in the field of health & life sciences;
3. Interest/affinity and preferably experience in:
a. Value-Based Health Care and Value-Based Health Care implementation
projects and education with a digital focus (a.o. e-health, data, AI)
b. Digital transformation and services/products (internally and for clients);
c. Business (a highly developed sense of commercialism and experience in
marketing/communication);
d. (Project) Management (planning skills, able to prioritize and work within
deadlines, keeping an overview in hectic surroundings);
e. Client relations and adding value for them;
f. Willingness to work internationally;
g. Consulting and change management experience or proven interest;
4. The following competencies:
a. Positive and enthusiastic;
b. Thorough;
c. Hands-on mentality;
d. Entrepreneurial and independent;
5. Excellent skills in MS Office.
What we offer
1. Fast-learning by doing;
2. Informal but professional and challenging surroundings;
3. Critical feedback loops to get the most out of you;
4. Working closely together in a team with great colleagues;
5. Freedom and responsibility; ‘head-first’, initiative and creativity;
6. All can build the company, you are important!
How to apply
Interested? Please send your application, together with your CV and a recent list of grades to
info@thedecisiongroup.nl or call +31 (0)20 4040 111 for more information.",-1.0,-1,https://indeed.nl/rc/clk?jk=2416ca2d3afd8607&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=5ef4b51bd82cc0de&assa=4019,https://nl.indeed.com/vacature-bekijken?jk=2416ca2d3afd8607&fccid=e4abeee5406b74c4&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
8,health,Indeed,p_fe49eea6edf1edb0,Bootcamp instructeur,City Bootcamp, Amsterdam,"Looking for STARS!City Bootcamp is een sportbedrijf met als missie om iedereen elke dag een beetje gezonder en gezelliger te maken. Mensen een beter leven geven. Dat doen we door onze Bootcamp Trainingen, door de inzet van health coach sterren en door de entertainer uit te hangen om mensen aan het lachen te maken. We zijn natuurlijk wel serieus, we hebben een berg aan fitness kennis in huis en dat willen we graag overbrengen. We maken gezondheid cool door een merk te bouwen dat creativiteit, energie en fun uitstraalt. Dit merk wordt door een awesome team als een pitbull bewaakt en met veel liefde uitgebouwd.Voor ons team in Amsterdam zijn wij op zoek naar BOOTCAMP TRAINERS. Ben je in het bezit van minimaal een Fitness A-diploma of soortgelijke certificaten? Ben je leergierig en enthousiast? Straal je passie en plezier uit? Kan jij je klanten op een verantwoorde manier uit blijven dagen? Ben jij die persoon die ervoor zorgt dat doelen worden behaald en mensen boven zichzelf uitstijgen? Dan zijn wij op zoek naar jou!Wat wij vragen:Certificaten/diploma’s waarmee je officieel training mag geven;Geldige EHBO;Wat kunnen we bieden:- freelance, uren in overleg;- gezellige borrels met trainers;- gezellige, informele en dynamische werksfeer;Ben je enthousiast? Stuur een mailtje met jouw cv en een korte motivatie (6 regels) en hopelijk mogen we jou snel ontmoeten.Soort dienstverband: Parttime, Freelance/ZZPSalaris: €20,00 tot €30,00 /uurParttime uren: 0-10 per weekSoort dienstverband: Parttime, Freelance/ZZPSalaris: €20,00 - €30,00 per uurArbeidsvoorwaarden:ReiskostenvergoedingWerkschema:AvondwerkFlexibel werkroosterma-vrWeekendWerken op feestdagen",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/City-Bootcamp/jobs/Bootcamp-Instructeur-fe49eea6edf1edb0?fccid=70ea2bc3bf905dc0&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
9,health,Indeed,p_48e13fa8135820f8,Health Safety & Environment Coordinator,Bunge, Wormerveer,"Ambieer jij een functie waarin je veel bewegingsvrijheid hebt en een van je uitdagingen het omhoog trekken van de procesveiligheid is? Werk jij graag voor een financieel stabiel en gezond bedrijf? Zou jij je tanden willen zetten in grote, interessante projecten die de organisatie qua veiligheid naar next level helpen? Lees dan snel de vacature Health Safety & Environment Coordinator en solliciteer direct!
Wat ga je doen als Health Safety & Environment Coordinator?
Als Health Safety & Environment Coordinator ben je verantwoordelijk voor de uitvoering en borging van operationele activiteiten op het gebied van ARBO, veiligheid en milieu. Je ontwikkelt en implementeert bedrijfsstandaarden en procedures om als organisatie continu te blijven verbeteren. Daarnaast ben je verantwoordelijk voor rapportages aan zowel het management als de overheid.
Als Health Safety & Environment Coordinator heb je een veelzijdige functie en kun je o.a. denken aan de volgende werkzaamheden:
Het uitvoeren van diverse onderzoeken op de gebieden arbeidsveiligheid, procesveiligheid, arbeidshygiëne en milieu;Het bijhouden van de Risico Inventarisatie en Evaluatie en het bijbehorende plan van aanpak;Het fungeren als aanspreekpunt voor klanten en diverse externe instanties, waaronder overheden en certificerende organisaties;Het geven van voorlichting op het gebied van ARBO, veiligheid en milieu en het trainen van medewerkers in veilig en milieuverantwoord handelen.
Dagelijks zal je intensief samenwerken met diverse afdelingen zoals productie, logistiek, de technische dienst en het laboratorium om een efficiënte organisatie te bewerkstelligen die aan alle ARBO-, veiligheid- en milieu-eisen voldoet. Daarnaast heb je regelmatig contact met je Veiligheid & Milieu collega's en rapporteer je aan de Plant Manager Wormerveer.
Wat zegt jouw toekomstige Manager over deze rol?
De Health Safety & Environment Coordinator heeft een zeer zelfstandige functie in een leuk en hands on team. Binnen de Bunge kaders heb je de kans om internationaal collegiaal overleg te hebben. Heb je ideeën of plannen om zaken beter te laten lopen? Ik geef je alle ruimte voor verbetering! Er vinden diverse investeringen plaats om veiligheid binnen ons bedrijf naar een hoger plan te trekken.
Wat breng jij mee als Health Safety & Environment Coordinator?
Je bent een stevige persoonlijkheid, pro-actief en in staat anderen van jouw standpunten te overtuigen. Vanzelfsprekend ben je gedreven in je vak en weet je met je persoonlijkheid het HSE beleid uit te dragen. Daarnaast weet je op natuurlijke wijze te communiceren met diverse niveaus binnen de organisatie. Voor deze leuke rol zoeken wij een zelfstandige, oplossingsgerichte collega met een no-nonsense mentaliteit. Verder herken jij je in het volgende profiel:
Je hebt een diploma Hogere Veiligheidskunde (HVK);Je beschikt over 5 jaar relevante werkervaring in een soortgelijke functie binnen de (proces)industrie;Je hebt goede en actuele kennis met betrekking tot de eisen op het gebied van kwaliteit, veiligheid en milieu;Je bent bekend met de MS office pakketten en in het bijzonder ben je ervaren met Excel;Je hebt een uitstekende beheersing van de Nederlandse en Engelse taal, zowel in woord als geschrift.
Wat mag jij van ons verwachten?
Een uitdagende functie met veel verantwoordelijkheid;Een bedrijfscultuur waarbinnen het ontwikkelen van jezelf door middel van opleidingen wordt gestimuleerd;Een platte organisatie met korte lijnen waarbinnen eigen initiatief wordt gewaardeerd;Uitstekende arbeidsvoorwaarden: een premievrij pensioen, 25 vakantiedagen en een marktconform salaris.
Over ons
Bunge Loders Croklaan is wereldwijd bekend als belangrijke producent en toeleverancier van zaden- en tropische oliën voor (inter)nationale industriële klanten.
In Nederland hebben we een productiefaciliteit in Wormerveer en een hypermoderne fabriek in Rotterdam. De raffinaderij op de Maasvlakte in Rotterdam is een voorbeeld van hoe innovatie en duurzaamheid kunnen samengaan. Ons hoofdkantoor is gevestigd in Wormerveer.
Belangstelling:
Heb je interesse in deze functie? Dan ontvangen wij graag je CV met een motivatie. Je kunt je sollicitatie sturen via de bijgevoegde link.
Nog niet direct overtuigd of meer weten?
Voor meer informatie over de functie kun je contact opnemen met Robbert Groenendijk, Talent Acquisition Specialist, op telefoonnummer 06 – 48 23 82 51, of per mail robbert.groenendijk@bunge.com.

Voor meer informatie over onze organisatie kun je terecht op onze website http://europe.bungeloders.com/
Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld. Wij schakelen geen hulp in van Recruitmentbureaus. Ongevraagd voorstellen van kandidaten is op eigen risico.",-1.0,-1,https://indeed.nl/rc/clk?jk=48e13fa8135820f8&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=99fc9764df0869f8&assa=6086,https://nl.indeed.com/vacature-bekijken?jk=48e13fa8135820f8&fccid=894ee0a88fc215e2&vjs=3,4 dagen geleden,4 dagen geleden,2021-02-11,en,Neutral
