,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,Gender
0,transport,Indeed,p_b489ad8f56862050,Logistiek Medewerker Webshop,FastForce, Amsterdam,"De werkgever is opzoek naar versterking voor het internet apotheek team. Samen met je collega’s ben je verantwoordelijk voor het dagelijks verwerken van de binnen gekomen orders, het inpakken van de medicijnen die verzonden moeten worden en met andere logistieke taken.Wat ga je doenORders verwerkenOpruimen van bestelde productenBestellingen verzendklaar makenVerrichten van administratieve werkzaamheden.Wat verwachten we van jouMinimaal MBO opgeleid.Je werkt nauwkeurig en kwaliteitsgericht.Je bent handig met computers en internet.Wat kunnen wij je biedenSalaris conform CAO Apotheken.Een leuke baan in een enthousiast team.Vastigheid. Wij geloven in een langdurige samenwerking.Doorgroeimogelijkheden.Bel of whatsapp naar: +31683649065 +31683976816 of stuur ons een e-mailParttime uren: 24 per weekSoort dienstverband: Parttime, Bepaalde tijd, Onbepaalde tijdArbeidsvoorwaarden:PensioenWerkschema:ma-vrWeekendThuiswerken:Nee",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/FastForce/jobs/Logistiek-Medewerker-Webshop-b489ad8f56862050?fccid=0dce2a04d008a15d&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
1,transport,Indeed,p_5420356ade2fec0e,Logistiek medewerker,LP Arbeidsbemiddeling, Schiphol,"!!Loon is exclusief toeslagen!!Namens een grote logistieke opdrachtgever die over de hele wereld opereert, zijn wij per direct op zoek naar een logistiek medewerker. Onze opdrachtgever zit op een locatie in de omgeving van Schiphol gevestigd en dit betreft een fulltime functie van 40 uur per week.WerkzaamhedenJe werkt in een grote loods waar producten opgeslagen worden die vanuit hier door heel Europa vervoerd worden. Deze producten moeten verpakt worden en klaar gemaakt worden om in de vrachtwagen geladen te worden. Daarnaast worden hier ook de speciale koelboxen gemaakt waarin het vaccin tegen Corona vervoerd wordt. Deze moet je conform de strenge regels in elkaar zetten en ready to go maken voor transport naar ziekenhuizen.Profiel- Je bent fulltime beschikbaar en vindt het geen probleem om ook op de zaterdagen te werken;- Je bent stressbestendig en je kunt prima onder een bepaalde werkdruk om deadlines te halen werken;- Je bent betrouwbaar, komt afspraken na en je hebt een flexibele instelling;- Je bent in het bezit van eigen vervoer, dit omdat de locatie lastig te bereiken is met het openbaarvervoer;- Je spreekt de Nederlandse taal, het is daarnaast een grote pre als je ook Engels kunt spreken;- Je hebt de intentie om hier langdurig aan de slag te gaan;- Fysieke werkzaamheden zijn voor jou geen enkel probleem;- Je komt uit de omgeving van Schiphol/Hoofddorp;- Je kunt een recente VOG (Verklaring Omtrent Gedrag) overhandigen.Geboden- Een uitzendovereenkomst met de intentie om je na 12 weken al een contract aan te bieden;- Toeslagen wanneer je op zaterdag moet werken;- Een leuke, snel groeiende werkplek waarin je vele doorgroeimogelijkheden hebt.Spreekt bovenstaande functie jou aan? Solliciteer dan direct door je CV met motivatiebrief op te sturen!Soort dienstverband: Fulltime, Tijdelijk, Bepaalde tijdSalaris: €10,10 - €11,25 per uurAanvullende betalingen:VakantiegeldArbeidsvoorwaarden:ReiskostenvergoedingWerkschema:ma-vrErvaring:Logistieke: 1 jaar (Aanbevolen)Licentie en/of certificaat:Rijbewijs B (Aanbevolen)Taal:Engels (Vereist)Nederlands (Vereist)Thuiswerken:Nee",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/L&P-Arbeidsbemiddeling/jobs/Logistiek-Medewerker-5420356ade2fec0e?fccid=0cc754d8776b6b9d&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
2,transport,Indeed,p_841996bfa25d490f,运输规划专员/Transport Planner,Zongteng Group, Amsterdam,"岗位职责:Entering and processing transport orders 运输订单的输入和处理;Planning transport orders throughout Europe 计划整个欧洲的运输订单;Maintaining contact with carriers + recruiting new carriers与运营商保持联系+招募新运营商;Accurate maintenance of planning + implementation of changes确保维护计划+实施更改;Collaborate with colleagues inside and outside the planning team与计划团队内部和外部的同事合作;Constant adjustment, coordination and optimization of processes 不断调整,协调和优化流程。岗位要求:To be able to work tightly and accurately 能够紧密而准确地工作;Topographic insight 地形洞察力;Good knowledge of MS Office 熟悉MS Office;Ambition to grow 渴望成长;HBO working and thinking level. HBO专科及以上;Knowledge of logistics processes and business operations is an advantage. 了解物流流程和业务运营是一个优势;Strong communication skills. 良好沟通表达能力;English is a must, Dutch or Chinese is a plus. 良好的英语水平,中文或荷兰语是一个优势;Flexible attitude (no 9 to 5 mentality) 态度灵活(没有9至5的心态);Stress-proof 抗压能力;Easy and fast problem solving 高效解决问题能力。Job Types: Full-time, Contract",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Zongteng-Group/jobs/%E8%BF%90%E8%BE%93%E8%A7%84%E5%88%92%E4%B8%93%E5%91%98-Transport-Planner-841996bfa25d490f?fccid=72483a325ed78a8b&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
3,transport,Indeed,p_58773dec6e905abd,Verhuizer,Verhuis Centrale Nederland BV, Amsterdam Westpoort,"VerhuizerWij zijn opzoek naar een verhuizer die ons team willen versterken. Ons bedrijf is relatief jong (bestaan vanaf begin 2014 als transportbedrijf en vanaf begin 2018 als verhuisbedrijf) waar vele ontwikkelingen en groei plaats vind.Ervaring in de transport branche of vergelijkbare werkzaamheden met raakvlakken is noodzakelijk net zoals een rijbewijs B.We bieden een veelzijdige baan met veel vrijheid en verantwoordelijkheid. Tevens is er veel ruimte voor ontwikkeling.Wat houdt het werk in?In- en verpakken, laden, lossen en uitpakken van verhuisgoederenCorrect en schadevrij overbrengen van verhuisgoederenZuinig omgaan met hulp- en verpakkingsmaterialenDemonteren en monteren van meubelenGeven van aanwijzingen bij het manoeuvreren van het voertuigWat verwachten wij van jou?Ervaring hebben met fysiek werkRedelijk handig/technisch zijnCommunicatief sterk zijnIn het bezit zijn van rijbewijs B is een preWoonachtig in de omgeving van AmsterdamWat bieden wij jou?Zeer prettige en informele (maar professionele) werksfeerLeuke en nuttige work-outZeer flexibel en aanpasbaar roosterOproepcontract met goed salarisSoort dienstverband: Fulltime, Onbepaalde tijdSalaris: €2.000,00 - €2.500,00 per maandAanvullende betalingen:FooiOveruren uitbetaaldVakantiegeldArbeidsvoorwaarden:Budget voor professionele ontwikkelingExtra vakantiedagenKerstpakketPensioenReiskostenvergoedingVrijdagmiddagborrelWerkschema:Dagdienstma-vrWeekendErvaring:verhuizer: 1 jaar (Aanbevolen)Opleiding:MBO (Aanbevolen)Locatie:Postcode 1043 in Amsterdam Westpoort (Aanbevolen)Licentie en/of certificaat:Rijbewijs (Aanbevolen)Taal:Engels (Aanbevolen)Nederlands (Aanbevolen)Voorzorgsmaatregelen tegen het coronavirus:Er gelden richtlijnen voor social distancing",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Verhuis-Centrale-Nederland-BV/jobs/Verhuizer-58773dec6e905abd?fccid=55325005115bce67&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
4,transport,Indeed,p_3b173fecfc6205e5,Operations Support,CH Robinson, Amsterdam,"What’s the opportunity?
Our Operational Representatives are trusted partners for one of our key customers. This is your chance to align with a multinational client to meet their supply chain and logistics needs while delivering a wonderful customer and carrier experience. Attention to detail, ability to respond effectively to changing workloads and priorities, and the ability to stay organized while helping others get organized are critical skills. A sense of humor, curiosity, and a desire to work with a smart and diverse group of people will make you an excellent addition to our team.
What will you be doing?
Consistently executing the day-to-day activity: order management, shipment consolidation, load planning and, appointment booking, tracking & tracing, exception management, problem resolution
Establishing and maintaining relationships with a network of external customer and carrier contacts, as well as internal stakeholders
Identifying development and improvement opportunities
Monitoring service quality, managing exceptions, and escalating critical issues
Updating, monitoring, and maintaining customer reports
Following up the status and quality of transport operations
What are we looking for?
Fluency in German or French is a plus
High energy and strong communication skills
Excellent organization, planning, time management, and problem-solving skills
Ability to prioritize and react with appropriate levels of urgency to multiple situations, requests and events that require quick response or turnaround
Highly motivated, organized, and able to work effectively with minimal supervision
Ability to build loyal customer relationships
Ability to work in a team environment, while also delivering independent results
Ability to persuade and influence others
Proficient knowledge of MS Excel
Strong analytical skills are an additional asset
What does C.H. Robinson offer you?

When you walk through the door at one of our branches, the first thing you notice is the energy. Our teams are outgoing, dynamic and engaging. If you are driven by energy, action and success, our work environment will be a perfect fit.
Real career possibilities and the opportunity to develop your talent in a fast moving, global organization
A fun, positive and open environment which encourages thinking outside the box
Use and develop your language skills in our international work environment. Our offices speak over 26 European languages each day
Compensation includes a monthly salary and bonus based on personal, team performance and business growth
About C.H. Robinson
From the produce you buy, to the water you drink, C.H. Robinson delivers products to people all around the globe. We are one of the world’s largest 3rd party logistic providers. Join our diverse team to innovate, solve problems, have fun and thrive.",-1.0,-1,https://indeed.nl/rc/clk?jk=3b173fecfc6205e5&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=5b44be2950d2722c&assa=3531,https://nl.indeed.com/vacature-bekijken?jk=3b173fecfc6205e5&fccid=090a7d416d718609&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
5,transport,Indeed,p_f705adc83a404abd,Transport & Customs Coordinator,Richemont, Amsterdam,"Reference Code: 28788
Transport & Customs Coordinator
Richemont
Amsterdam, NH, NL
Fixed Term
Richemont owns some of the world’s leading luxury goods Maisons, with particular strengths in jewellery, fine watches and premium accessories. Each Maison represents a proud tradition of style, quality and craftsmanship and Richemont seeks to preserve the heritage and identity of each of its Maisons. At the same time, we are committed to innovation and designing new products which are in keeping with our Maisons’ values, through a process of continuous creativity.
RLG Europe B.V., Amsterdam, is home to Richemont regional functions and 8 Richemont brands that work to support retail and wholesale, marketing and communication for the BeNeLux and Scandinavian region. The offices also provide a platform for European E-commerce and a Customer Relations Centre.
Mandate of the job is to translate complex business transactions into accurate and compliant accounting, while explaining these to stakeholders in simple language. Not afraid to crunch numbers in SAP, execute a variety of operational tasks, and be our subject matter expert in retail back office accounting. Besides closing the books, your focus is on optimizing processes to free up time to work on new challenging projects.

HOW WILL YOU MAKE AN IMPACT?
The jobholder supports both the local Sales business teams and the RLGE Swiss Branch Amsterdam logistics teams with activities on all aspects of Transport and Customs management.

KEY RESPONSIBILITIES

Transport booking and carrier management for all transport ex Amsterdam (RLGE and Benelux/ Scandinavia) Support the carrier selection process and implements Supplier Performance management as per Richemont policies and directives. Finds new transport solutions when new business situations arise. Works with Local Security and European Transport and Compliance Manager to ensure all shipments under their scope are carried out carried out correctly and compliantly. Manages exceptions and tracking correctly to ensure timely delivery and solving problems where necessary. Contacts with customer service of our carriers and the various Richemont brands to ensure smooth lead-times and communication. Ensures SLAs with Brands for transport ex Amsterdam are met. Arranging ad-hoc transports for valuables, events as requirement by the Local Business.

Responsible for all CITES administration from Amsterdam on behalf of RLGE BV : to Apply for CITES Certificates at the CITES office. Maintaining and guarding safety stocks, registration in Excel. Communication with CITES office where necessary.

Responsible for all return document to Switzerland and all other relevant customs documentation for import/export activities. This includes creating returns and corresponding proforma invoices for return flow to central distribution in Switzerland. Contacts with local Richemont brands where necessary and direct point of contact with the Import/Export Team in RID (Richemont International Distribution). The jobholder is also the key point of contact with Dutch customs for all queries and be required to visit or communicate with other Customs authorities in the region as needed.

Ensures full transport administration for transport carriers. Ensure correct invoice booking to the correct cost allocation, support in the preparation of Transport Budget. Ensure full claim management processes are correctly applied in collaboration with Local Finance and Security

Ensuring that the Transport & Customs aspects of RLGE/Benelux &Scandinavia compliance roadmap is defined and implemented with the support of the European Transport & Compliance Manager. Ensures targets and timelines are correctly met. Alerts the European Transport & Compliance Manager immediately on any non-compliant activities. Finds solutions either autonomously or with support of Management/Compliance Manager

Works on business partnering approach with Local Brands. Works to ensure business needs are identified and met. Identifies areas for joint improvement in line service levels and business needs which are defined with Brands.

Ad- hoc support for Local and European projects, boutique openings, integration of new activities, supplier review activities (e.g. external warehousing suppliers for non-valuables)

HOW WILL YOU EXPERIENCE SUCCESS WITH US?
Education level: Higher vocational educational background or work experience equivalent preferably in logistics.Minimum of 3-5 years working experience in logistics, preferably in B2C.Excellent knowledge of transport and customs is required, in particular with high degree of working knowledge of CITESAdvanced knowledge of Dutch and English language, spoken and written fluent/mother tongueAdvanced knowledge of MS Word, Excel.Preferably good working knowledge of SAP.Feeling for/affinity with luxury goods and the transport, customs and security challenges associated with these movements.

LANGUAGE SKILLS:
English fluent in spoken and writtenDutch would be an advantage

PERSONAL SKILLS:
Professional communication skills with high levels of integrity and diplomacyProactive attitude & problem solvingHigh level of accuracy and detail orientationTeam player who can see the bigger picture and end to end viewCommercial understanding and customer focused approach

HOW DO WE KEEP YOU SMILING?
We offer you a great international environment with strong professionals in the field. Grow and develop your knowledge
in a fun and flexible working environment with the chance to be a part of a rapidly expanding e-commerce function.

We also offer a competitive salary to reward your efforts and a supportive environment.

YOUR JOURNEY WITH US:
If your application is selected we will reach out to you within 1 month for an informal introductory call. In the interview process with us, we always ensure you have complete insight and transparency. If this sounds stimulating to you, we are happy to hear from you and hopefully welcome you to our team.
Richemont is an equal opportunity employer.",-1.0,-1,https://indeed.nl/rc/clk?jk=f705adc83a404abd&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=3400dbe8e4b03506&assa=4515,https://nl.indeed.com/vacature-bekijken?jk=f705adc83a404abd&fccid=8e2946f10f334da4&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
6,transport,Indeed,p_20c7cccb0c76a415,Sales Assistant - Fixed Term Contract,WHSmith, Schiphol,"WH Smith is one of the World’s most popular bookseller, newsagent and convenience retailers and is loved by millions of customers who shop in our Stores across the world.As part of our International expansion WH Smith is coming to Holland to open our third Store in Amsterdam’s hugely popular and busy Schiphol Airport offering a variety of shifts. As such we are looking for a team of highly driven and dynamic individuals to drive the performance of this brand new store.It is a fantastic opportunity to not only be part of this exciting team but to also join a well known global company that places a high emphasis on its people, its customers and products. With our international businesses more successful than ever, there’s great scope for growth – and you can be part of it.The Opportunity: Do you thrive in a fast paced environment where no two days are the same, then look no further. We are looking for exceptional individuals used to working in a customer focused environment and highlighting promotions to join our brand new store based in Schiphol Airport. Working in a team you will play an active role in providing a positive customer experience and driving sales.Please note some of our shift patterns require 5am starts.The Accountabilities: To always deliver a friendly service, smiling, greeting and making eye contact with every customer you come into contact withWorking on tills accurately and efficiently, to provide a positive customer experience.Carry out stock replenishment, ensuring all areas of the store remain tidyWorking as an active member of the team, supporting colleagues in all tasksMeeting high standards of display and visual merchandising to ensure the store is well presented. Accurately following planogramsDemonstrate good product knowledge to customers on key promotions and offers. Approaching customers that may require assistance if you are on the shop floorTargeted on having appropriate Till Point Conversations with every customer to add on sales and increase the average transaction value.Role will involve pushing heavy cages and moving stock over long distancesAccepting and receiving deliveriesOccasionally you will be required to open and close the StoresThe Requirements: Experience gained within a retail environment would be idealSales DrivenIdeally you will have previous customer service experienceConfident approach towards maximising sales opportunitiesStrong communication skills and ability to participate as a key team memberAbility to work under pressure in a fast paced environmentFlexibility with working hours and the availability of transport due to shift timesFluency in spoken and written English is essentialAirside pass requirements – valid passport, 5 years continuous referencing, consent to undertake a Criminal Record CheckJob Types: Part-time, ContractEducation:Preferred",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/WHSmith/jobs/Sales-Assistant-20c7cccb0c76a415?fccid=e6d10f9c77816214&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
7,transport,Indeed,p_b1e365b560d726d3,Voorman verhuizer,Verhuis Centrale Nederland BV, Amsterdam Westpoort,"VoormanWij zijn opzoek naar een voorman die ons team willen versterken. Ons bedrijf is relatief jong (bestaan vanaf begin 2014 als transportbedrijf en vanaf begin 2018 als verhuisbedrijf) waar vele ontwikkelingen en groei plaats vind.Ervaring in de transport branche of vergelijkbare werkzaamheden met raakvlakken is noodzakelijk net zoals een rijbewijs B.We bieden een veelzijdige baan met veel vrijheid en verantwoordelijkheid. Tevens is er veel ruimte voor ontwikkeling.Wat houdt het werk in?In- en verpakken, laden, lossen en uitpakken van verhuisgoederenCorrect en schadevrij overbrengen van verhuisgoederenZuinig omgaan met hulp- en verpakkingsmaterialenDemonteren en monteren van meubelenGeven van aanwijzingen bij het manoeuvreren van het voertuigWat verwachten wij van jou?Ervaring hebben met fysiek werkRedelijk handig/technisch zijnCommunicatief sterk zijnIn het bezit zijn van rijbewijs B is een preWoonachtig in de omgeving van AmsterdamWat bieden wij jou?Zeer prettige en informele (maar professionele) werksfeerLeuke en nuttige work-outZeer flexibel en aanpasbaar roosterOproepcontract met goed salarisSoort dienstverband: Fulltime, Onbepaalde tijdSalaris: €2.500,00 - €3.000,00 per maandAanvullende betalingen:FooiOveruren uitbetaaldVakantiegeldArbeidsvoorwaarden:Budget voor professionele ontwikkelingExtra vakantiedagenKerstpakketPensioenReiskostenvergoedingVrijdagmiddagborrelWerkschema:Dagdienstma-vrWeekendErvaring:verhuizer: 1 jaar (Aanbevolen)Opleiding:MBO (Aanbevolen)Locatie:Postcode 1043 in Amsterdam Westpoort (Aanbevolen)Licentie en/of certificaat:Rijbewijs B (Vereist)Taal:Engels (Aanbevolen)Nederlands (Aanbevolen)Voorzorgsmaatregelen tegen het coronavirus:Er gelden richtlijnen voor social distancing",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Verhuis-Centrale-Nederland-BV/jobs/Voorman-Verhuizer-b1e365b560d726d3?fccid=55325005115bce67&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
8,transport,Indeed,p_5f509b17125479c5,Website Coordinator Greek market (part-time 16h/week),Oberst, Amsterdam,"Oberst BV develops online portals that help people save money. We aggregate tens of thousands of coupons and offers to make it easy for our visitor to get a better deal while shopping online. With portals like GuteGutscheine in Germany, LaReduction in France and SökRabatt in Sweden, we're present in 23 countries and growing fast.
We are currently looking for a committed and motivated Website Coordinator for our Greek website, yet to be launched. You will work in a small team and be responsible for all aspects of the content on the website. You will add to and update our coupons savings database, communicate with our partner agencies / merchants and take product ownership.
Your Responsibilities
Maintaining of our coupons and savings database
Processing of incoming emails and data
Achieving high quality and accuracy of the information in the database
Communicating with merchants and agencies, coordinating exclusive coupons and promotions
Reviewing of quality and revenue metrics and implementation of strategies for improving them
Contributing to improving internal processes to gather data and improving database quality
Your qualifications
You are fluent in Greek and have impeccable writing skills
You have knowledge about the e-commerce market in Greece
You are flexible, resilient and very reliable
You are great at working in a team
You are accurate and enjoy working with databases
You have experience in managing an online property or affiliate marketing
You are analytical and focused on achieving (business) results

You are based in the Netherlands
What we offer
An exciting work environment in a fast-growing startup with an international and friendly team
Flat hierarchies and quick decision-making
A beautiful office near the UvA in the heart of Amsterdam accessible by public transport
Flexible working days and hours
Option to work remotely (you must reside in the Netherlands)
Flexible holidays
A salary fitting for the position and according to Dutch standards
Personal responsibility for tasks
The opportunity to contribute your own ideas
Our hiring process
We believe the right people are the most important factor for the success of the company. Thus, we do a very thorough process, which includes:
Screening email
Video and in-person interviews
Reference check
We look forward to receiving your application!",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=5f509b17125479c5&fccid=e85b4a467f5aed6e&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
9,transport,Indeed,p_416ce109ef184eed,Night Receptionist,City Hotel, Amsterdam,"Night Receptionist position

You are available to start working as soon as possible, you are not a morning person and working in the night is something that you like? Then, you might be our next Night Receptionist. City Hotel Rembrandt Square is now looking for part time Night Receptionists, available to work in shifts, to join our Front Office team.

An eye for details, punctuality and responsibility are essential for this position. During the night, you will be our Manager on duty and responsible to make sure the hotel runs smoothly.

What to expect

Being located in Rembrandt Square, in the heart of the nightlife district of Amsterdam, and making sure that our guests are satisfied with their stay already for more than 30 years, the City hotel is fully booked throughout the year either by youngsters coming to party in Amsterdam, or travelers and families that want to explore the city.

The hotel is easily accessible by public transport and by bike. At the City Hotel you will work in a friendly international environment where all the communication is in English and you will have the chance to meet different people from all over the world.

During your shift you will work independently while being part of a team and you will be in charge of the check-ins or check-outs during your shift but also online reservations or payments. Experience is not mandatory, as before your first shift you will have a tailored-made training based on your needs. At City Hotel, we work in a small team that allows our employees to have daily feedback on their work and the management’s assistance when needed.

Job requirements
You have a sufficient level of English (speaking and writing)
You live in Amsterdam
You have a BSN and work permit (if applicable)
You are flexible and able to work in shifts (weekends and public holidays included).
Ability to work under pressure


Please send your CV at nikoleta@city-hotel.nl",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=416ce109ef184eed&fccid=a355a805f297ffc2&vjs=3,6 dagen geleden,6 dagen geleden,2021-02-17,en,Neutral
